"产品/公司","分组","证据类型","证据"
"Conversation Exchange","语言交换官网 / 应用商店 / 社媒证据","官网 + LinkedIn","官网: http://conversationexchange.com/index.php?lg=ru | 官网: https://tandem.net/ | 官网: https://www.conversationexchange.com/ | 官网: https://www.conversationexchange.com/advertise.php?lg=en | LinkedIn: https://linkedin.com/company/conversation-exchange"
"HelloTalk","语言交换官网 / 应用商店 / 社媒证据","官网 + App Store + Google Play","官网: https://www.hellotalk.com/en/ | 官网: https://www.hellotalk.com/en/ambassadors | 官网: https://www.hellotalk.com/en/download | 官网: https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison | App Store: https://apps.apple.com/in/app/hellotalk-language-learning/id557130558 | App Store: https://apps.apple.com/us/app/hellotalk-language-learning/id557130558 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk | Google Play: https://play.google.com/store/apps/details?hl=en&id=com.hellotalk"
"Hilokal","语言交换官网 / 应用商店 / 社媒证据","官网 + App Store + Google Play","官网: https://www.hilokal.com/en | 官网: https://www.hilokal.com/en/trainer | App Store: https://apps.apple.com/au/app/hilokal-ai-language-learning/id1537500613 | App Store: https://apps.apple.com/pk/app/language-exchange-with-hilokal/id1537500613 | App Store: https://apps.apple.com/us/app/hilokal-language-exchange-app/id1537500613 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hilokal | Google Play: https://play.google.com/store/apps/details?id=com.hilokal&hl=en | Google Play: https://play.google.com/store/apps/details?id=com.hilokal&hl=en_CA"
"SewaYou","语言交换官网 / 应用商店 / 社媒证据","官网 + App Store + Google Play","官网: https://www.sewayou.com/ | 官网: https://www.sewayou.com/blog/best-language-exchange-apps-2026 | 官网: https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison | 官网: https://www.sewayou.com/en | App Store: https://apps.apple.com/in/app/sewayou-japanese-friends/id1455473510 | App Store: https://apps.apple.com/us/app/sewayou-language-exchange/id1455473510 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.sewayou | Google Play: https://play.google.com/store/apps/details?hl=en&id=com.sewayou"
"Slowly","语言交换官网 / 应用商店 / 社媒证据","官网 + App Store + Google Play","官网: https://slowly.app/ | 官网: https://slowly.app/blog/happy-6th-anniversary/ | 官网: https://slowly.app/release-notes-archive/ | App Store: https://apps.apple.com/dk/app/slowly-make-global-friends/id1199811908 | App Store: https://apps.apple.com/rs/app/slowly-make-global-friends/id1199811908 | App Store: https://apps.apple.com/us/app/slowly-make-global-friends/id1199811908 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.slowlyapp | Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_CA"
"Tandem","语言交换官网 / 应用商店 / 社媒证据","官网 + App Store + Google Play","官网: https://tandem.net/ | 官网: https://tandem.net/download | 官网: https://tandem.net/pages/press | 官网: https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison | App Store: https://apps.apple.com/ca/app/tandem-practice-languages/id959001619 | App Store: https://apps.apple.com/us/app/tandem-practice-languages/id959001619 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=net.tandem | Google Play: https://play.google.com/store/apps/details?id=net.tandem&hl=en_CA"
"Butterflies AI","AI 社交 / companion / 泛娱乐官网与应用商店证据","App Store + Google Play + LinkedIn","App Store: https://apps.apple.com/au/app/butterflies-talk-to-real-ais/id6471347348 | App Store: https://apps.apple.com/gb/app/butterflies-talk-to-real-ais/id6471347348 | App Store: https://apps.apple.com/us/app/butterflies-escape-reality/id6471347348 | App Store: https://apps.apple.com/us/app/butterflies-talk-to-real-ais/id6471347348 | Google Play: https://play.google.com/store/apps/details?id=ai.butterflies.ios&hl=en_US | LinkedIn: https://linkedin.com/company/butterflies-ai"
"Daze","AI 社交 / companion / 泛娱乐官网与应用商店证据","官网 + App Store + Google Play","官网: https://daze.chat/ | App Store: https://apps.apple.com/il/app/daze-freeform-chat/id6497405419 | App Store: https://apps.apple.com/us/app/daze-freeform-chat/id6497405419 | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.marblemedia.dazechat | Google Play: https://play.google.com/store/apps/details?id=com.marblemedia.dazechat&hl=en"
"Shapes","AI 社交 / companion / 泛娱乐官网与应用商店证据","官网 + App Store","官网: https://talk.shapes.inc/ | App Store: https://apps.apple.com/ca/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/ca/app/shapes-inc-groupchats-with-ai/id6747601762 | App Store: https://apps.apple.com/gb/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/gy/app/shapes-inc-ai-with-friends/id6747601762?platform=ipad | App Store: https://apps.apple.com/in/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/nz/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/us/app/shapes-inc-ai-with-friends/id6747601762"
"Status AI","AI 社交 / companion / 泛娱乐官网与应用商店证据","官网","官网: https://www.statusai.com/ | 官网: https://www.statusai.com/about | 官网: https://www.statusai.com/press"
