"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","known","OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables","2026-06-18T00:00:00.000Z","https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/","OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables ... By helping people find friendly company for a meal out, the app is suitable for solo travelers, newcomers to town, and locals who are open to sharing a meal with someone new ... United States, 18th Jun 2026 —OpenToBites has launched its mobile app, which enables diners to find company by sharing tables at restaurants. Available on iOS "
"线下真人社交","critical","new","‎Timeleft: Make New Friends IRL App - App Store","2026-06-15T23:33:49.402Z","https://apps.apple.com/bt/app/timeleft-make-new-friends-irl/id6466442949","‎Timeleft: Make New Friends IRL App - App Store ... # Timeleft: Make New Friends IRL ... Meet New People & Make Friends ... The friendship app 3M+ users love. Timeleft matches you for dinners, drinks, coffee, and runs with like-minded people. No swiping. No planning. Just show up. ▶ HOW IT WORKS ◀ 1. Take the quiz We match you based on personality, not selfies. 2. Book your experience Dinner, drinks, coffee, or a run"
"融资 / 商业化","high","known","Turnout Announces $35M Series A to Put an AI Advocate in Every American’s Corner","2026-06-19T15:34:20.000Z","https://theaiinsider.tech/2026/06/19/turnout-announces-35m-series-a-to-put-an-ai-advocate-in-every-americans-corner/","- Turnout, an AI-powered consumer advocacy service, has raised $35 million in Series A funding led by HighPost Capital, with participation from Shine Capital, LGVP, Mangusta Capital, Honeystone Ventures, and investor Omri Casspi, bringing the company’s total valuation to $400 million. ... - The platform combines AI agent Jake, which handles tasks such as waiting on hold, chasing records, and filling applications, wit"
"研究 / 政策风险","high","known","Frontiers | The adaptive ecological trap: a grounded theory study of adolescent AI dependency","2026-06-18T01:32:34.000Z","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1839672/full","Regarding emotional function compensation, generative AI serves as a low-risk, highly controllable “ideal partner”. Through algorithmic analysis of user input, it provides seemingly precise, empathetic, and tirelessly responsive feedback. This undoubtedly offers a safe, non-judgmental emotional outlet for adolescents experiencing social anxiety or loneliness (Xie et al., 2025). Previous studies indicated that a signi"
"融资 / 商业化","high","new","Tryll Engine Raises $600K Pre-Seed at $6M Valuation to Bring On-Device AI Characters and Conversations to Games – Unite.AI","2026-06-17T15:42:13.000Z","https://www.unite.ai/tryll-engine-raises-600k-pre-seed-at-6m-valuation-to-bring-on-device-ai-characters-and-conversations-to-games/","Tryll Engine Raises $600K Pre-Seed at $6M Valuation to Bring On-Device AI Characters and Conversations to Games – Unite.AI ... A new startup aiming to make AI-native gameplay practical for game studios has secured fresh funding and opened its technology to a select group of developers. Tryll announced that it has raised a $600,000 pre-seed round led by Early Game Ventures, valuing the company at $6 million, while sim"
"融资 / 商业化","high","known","Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu","2026-06-17T13:00:00.000Z","https://tech.eu/2026/06/17/tryll-launches-ai-gaming-engine-alpha-and-secures-600k-pre-seed-funding/","Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu ... # Tryll launches AI gaming engine alpha and secures $600K pre-seed funding ... Tryll has secured new funding and launched the closed alpha of its on-device AI engine, enabling game developers to build AI-powered characters and voice interactions that run directly on players’ hardware. ... Tryll, the company behind an on-device AI e"
"融资 / 商业化","high","known","Maya Research Raises $1.9M for Voice AI, Backed by South Park Commons","2026-06-17T11:26:57.000Z","https://knowstartup.com/news/maya-research-raises-1-9-million-voice-ai-south-park-commons/","Maya Research Raises $1.9M for Voice AI, Backed by South Park Commons ... Maya Research Raises $1.9M for Voice AI, Backed by South Park Commons ... Bengaluru- and San Francisco-based Maya Research has raised $1.9 million in a seed round to build voice AI that speaks, thinks, and responds like a native speaker — a bet on the billions of people who interact with technology through conversation rather than text. The rou"
"中国 AI 社交出海","high","known","China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17T09:06:42.000Z","https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/","In Beijing, Shanghai, and dozens of smaller cities, millions of young Chinese are spending real money on relationships that do not exist. AI companion apps, offering virtual girlfriends, boyfriends, and conversational partners, have grown into a multi-billion-dollar industry that is reshaping consumer spending habits and attracting serious investment from the country's largest technology companies. ... The market for"
"融资 / 商业化","high","known","KLIPY raises $3.8M from investors and joins Google AI Futures Fund to build the expression layer for GIFs, memes, stickers, clips, and AI media","2026-06-17T00:00:00.000Z","https://www.prnewswire.com/news-releases/klipy-raises-3-8m-from-investors-and-joins-google-ai-futures-fund-to-build-the-expression-layer-for-gifs-memes-stickers-clips-and-ai-media-302802594.html","KLIPY raises $3.8M from investors and joins Google AI Futures Fund to build the expression layer for GIFs, memes, stickers, clips, and AI media Accessibility Statement Skip Navigation ... KLIPY is the enterprise-grade expression API layer, helping developers integrate GIFs, memes, stickers, clips, and AI for real-time expression, while giving creators, brands, and rights holders tools to distribute, manage, and contr"
"投放 / 付费获客证据","medium","known","MojiMoshi Embeds AI Agents Inside Telegram and Line, No App Needed - AINews","2026-06-20T02:32:06.000Z","https://ainews.cool/article/20260620-mojimoshi-ai-agent-telegram-line","users create persistent AI agents that live inside Telegram and Line, eliminating ... MojiMoshi has quietly launched a platform that embeds persistent, context-aware AI agents directly into existing messaging apps—starting with Telegram and Line. Users do not download a new app or learn a new interface; they simply add an agent to a chat, and it stays there, remembering past conversations, answering questions, and pe"
"投放 / 付费获客证据","medium","new","OpenAI Launches ChatGPT Advertising Business in Japan Amid Rising AI Costs | AJU PRESS","2026-06-19T06:24:00.000Z","https://www.ajupress.com/view/20260619152470142","OpenAI is set to launch an advertising business using ChatGPT in Japan as the company faces increasing operational costs associated with artificial intelligence (AI). The new service will display contextually relevant ads during user conversations with ChatGPT, distinguishing it from traditional search ads that appear after users input keywords. This approach aims to connect naturally emerging consumer demand with ad"
"Coverage signal watchlist","medium","known","Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch","2026-06-18T12:00:00.000Z","https://techcrunch.com/2026/06/18/pixis-new-ios-app-turns-text-messages-into-interactive-ar-experiences/","Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch ... Pixi’s new iOS app turns text messages into interactive AR experiences ... Forget stickers, GIFs, and emoji reactions. Pixi is betting that the next evolution of messaging is interactive augmented reality (AR). ... The startup launched its messaging-native app on the App Store on Wednesday, allowing users to send AI-powered AR cha"
"Coverage signal watchlist","medium","known","Character.AI is adding new tools for chatbot creators. | The Verge","2026-06-17T16:00:00.000Z","https://www.theverge.com/ai-artificial-intelligence/951461/character-ai-is-adding-new-tools-for-chatbot-creators","Character.AI is adding new tools for chatbot creators. | The Verge The homepageThe Verge logo. The homepageThe Verge logo. Posted Jun 17, 2026 at 4:00 PM UTC E Emma Roth Character.AI is adding new tools for chatbot creators. A new dashboard will show a creator’s most popular AI characters, along with metrics including interactions, likes, and discoveries. Character.AI is also launching a feature that will notify foll"
"投放 / 付费获客证据","medium","known","CloudX Takes A Swing At Black‑Box Mobile UA With Agentic Buying Tools | AdExchanger","2026-06-17T13:00:22.000Z","https://www.adexchanger.com/mobile/cloudx-takes-a-swing-at-black-box-mobile-ua-with-agentic-buying/","CloudX, which launched into general availability in February, uses AI agents to handle mobile monetization tasks, such as setting price floors, updating line items and managing SDK integrations. ... On Wednesday, the company launched agentic buying, which lets publishers acquire users directly from other apps without going through an ad network. The capability is in a private beta running through Q3 with a small grou"
