"名称","赛道/边界","补证结论","优先级","Exa结果数","来源查询ID","种子URL","原因","requestIds","证据"
"LingoPraxis","language exchange long tail","长尾留档","medium","12","lingopraxis_growth","https://lingopraxis.com/","有官网、商店和真人语言练习定位，但 targeted Exa 补证仍未找到融资、强增长、社媒声量或开放消费社交规模信号；作为长尾覆盖保留，不升级主表。","2c59bf6f89b5c0a23203a52f0f3a8d69 | db4adbc83c298c9eac390e96d0e45a81","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | SewaYou: https://sewayou.com/ | LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis: Language Exchange 4+: https://apps.apple.com/ua/app/lingopraxis-language-exchange/id6446861184"
"Conversifi","language exchange / university","边界参照","medium","12","language_exchange_companies","https://conversifi.com/","定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","aaab39d9403f15c1a836fa85bb4df0a6 | 3b09c443fa1bac81b34ed8e45e01082e","Conversifi: https://conversifi.com/ | INT'L CAFE: https://intlcafe.io/ | Language and Cultural Exchange for College Students | Conversifi: https://conversifi.com/ | X - Connecting Language Learners - Conversifi | Connecting the World in Conversation: https://conversifi.com/connecting-language-learners/"
"Plannit","planning / travel adjacent","排除主表","low","12","offline_social_discovery_companies","https://plannit.in/","结果更偏计划工具、AI business plan 或 travel creator booking，不是 HelloTalk/Tandem 或 AI 社交核心竞品。","4b5f5390adf7ce84d0e21a6cca97496f | ecd47ca01b5ab0cbe9b2a23c294f1799","Plannit: https://plannit.in/ | SewaYou: https://sewayou.com/ | Plannit AI Unveils Revolutionary AI Business Plan Generator: https://www.openpr.com/news/3443121/plannit-ai-unveils-revolutionary-ai-business-plan-generator | Former Priceline execs debut Plannin, a booking platform that uses travel influencers to help plan trips | TechCrunch: https://techcrunch.com/2024/05/30/plannin-travel-booking-platform-for-creators/"
"SoMe AI","AI-native social candidate","信号复核","high","12","offline_social_discovery_companies","https://socialwithsome.com/","有 AI/social 方向和同类新闻信号，但需确认 SoMe AI 与 Series/Shapes/Status 等结果是否为同一实体或相邻噪声。","0c0bfe456c66e8b52bb2d09785d63242 | 525e07c6d58e58b30b6f09197f4cb143","SoMe AI: https://socialwithsome.com/ | SocialMe Ai: https://socialmeai.com/ | Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch: https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/ | Meet Shapes, the app bringing humans and AI into the same group chats | TechCrunch: https://techcrunch.com/2026/04/29/meet-shapes-the-app-bringing-humans-and-ai-into-the-same-group-chats/"
"Meetup.com","unclassified candidate","候选补证","medium","12","local_activity_social_companies","https://meetup.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","73c27beb33a47940cc9f17195249695a | 5bad8319bc164e932f4bc3910e2f353a","Meetup.com: https://meetup.com/ | MeetMux: https://meetmux.com/ | Meetup's new mobile app is designed to make it easier to meet people IRL: https://www.engadget.com/mobile/meetups-new-mobile-app-is-designed-to-make-it-easier-to-meet-people-irl-150000920.html | The grandaddy of IRL apps attempts a comeback: https://www.morningbrew.com/stories/2026/03/19/the-grandaddy-of-irl-apps-attempts-a-comeback"
"Around Me","local search adjacent","排除主表","low","12","offline_social_company_boundary","https://aroundme.co/","补证结果更像本地搜索工具 AroundMe，而不是社交或 AI 社交产品。","dedd15310890efd351040b0e8f1f87ad | 8a55acd788a40082c7124f8b80a5d39e","Around Me: https://aroundme.co/ | SewaYou: https://sewayou.com/ | Mate Secures $650,000 to Fuel AI-Powered Real-Life Friendships | Signalbase: https://www.trysignalbase.com/news/funding/mate-secures-650000-to-fuel-ai-powered-real-life-friendships | Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/"
"Time2Talk","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://time2talk.app/","出现具体产品/公司名，但当前补证结果不足以升级主表。","1fb93dd94e08d90b6a3032770f67f256 | a2d91bf7ddc059811ac2c0cb953832a4","Time2Talk: https://time2talk.app/ | SewaYou: https://sewayou.com/ | Time2Talk: https://linkedin.com/company/time2talkapp | Time2talk (Educational Software) 2026 Company Profile: Valuation, Funding & Investors | PitchBook: https://pitchbook.com/profiles/company/498175-57"
"Languages Live Gesellschaft Lokalisierung mbH","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://mylanguageexchange.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","b96c6b623b0dfa8c62fc53c122c36cf6 | 9804ef3c2a73c1a534e5ab0da969eb6f","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | INT'L CAFE: https://intlcafe.io/ | Language learning app Sylvi raises £350k in super angel round as it plans to scale its AI-powered conversational practice — EdTech Innovation Hub: https://www.edtechinnovationhub.com/news/language-learning-app-sylvi-raises-350k-in-super-angel-round-as-it-plans-to-scale-its-ai-powered-conversational-practice | WRD wants to do for language learning what GPS did for navigation — remove the thinking | VentureBeat: https://venturebeat.com/business/wrd-wants-to-do-for-language-learning-what-gps-did-for-navigation-remove-the-thinking"
"LingoLooper","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingolooper.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","d1a3e8d30b463658dc252a0dcb119838 | ebe55d1d256137daaee95ac0fb7b02e1","LingoLooper: https://lingolooper.com/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | 200,000 users in one year – LingoLooper enters its next phase with new investors -: https://scienceparkskovde.se/en/articles/200000-users-in-one-year-lingolooper-enters-its-next-phase-with-new-investors/ | LingoLooper - AI Language Game on iOS and Android: https://www.lingolooper.com/"
"LingoQuesto","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingoquesto.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","1ea7312000cba44ddd972b87adbb1ee1 | 080a0c61fb46e264114065c4bb30c0a2","LingoQuesto: https://lingoquesto.com/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | LingoQuesto | Home: https://www.lingoquesto.com/ | LingoQuesto Secures $100K in Pre-Seed Funding to Revolutionize Language Education with AI Tools | Signalbase: https://www.trysignalbase.com/news/funding/lingoquesto-secures-100k-in-pre-seed-funding-to-revolutionize-language-education-with-ai-tools"
"Plang, Inc.","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://plang.ai/","出现具体产品/公司名，但当前补证结果不足以升级主表。","73615c17d5532626d2cde0e90251540b | 4a121f6c9a225aa150cb9b01905ee8b5","Plang, Inc.: https://plang.ai/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | [StarupRecipe] Binge watching the Korean Online Demo Day (Sep to Oct) - startuprecipe: https://en.startuprecipe.co.kr/archives/invest-newsletter/25 | [경기창경센터 창업도약] 병오년 한 해를 질주할 ‘적토마’ 같은 스타트업 (4)｜동아일보: https://www.donga.com/news/It/article/all/20260106/133105847/1"
