"产品/公司","Exa query","状态","HTTP","requestId","结果数","Top results"
"Tandem","Tandem language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","232ad270497aca0c49dd9c47b0961f60","8","Tandem Language Exchange App | Find Conversation Exchange ...: https://tandem.net/ | Tandem: Language exchange: https://play.google.com/store/apps/details?id=net.tandem&hl=en_AU | Tandem: Language exchange - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=net.tandem | Tandem - Language Exchange | LinkedIn: https://linkedin.com/company/tandem---mobile-language-exchange/ | Tandem: Practice Languages - App Store - Apple: https://apps.apple.com/us/app/tandem-practice-languages/id959001619"
"Hilokal","Hilokal language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","9fe69599c491a1fde870c16601b23c5a","8","Hilokal - Language exchange for free speaking practice: https://www.hilokal.com/en | Hilokal: https://linkedin.com/company/hilokal | Hilokal - AI Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hilokal | Hilokal - AI Language Learning: https://play.google.com/store/apps/details?id=com.hilokal&hl=en_CA | Hilokal: AI Language Learning 9+: https://apps.apple.com/nz/app/hilokal-ai-language-learning/id1537500613"
"SewaYou","SewaYou language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","81715fd2a8bcb762c8b167c2e1718f02","8","SewaYou: https://www.sewayou.com/ | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_SG | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_GB | SewaYou - Japanese Friends - Apps on Google Play: https://play.google.com/store/apps/details?hl=en&id=com.sewayou | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_ZA"
"Conversation Exchange","""Conversation Exchange"" language exchange LinkedIn Facebook Instagram X official website conversationexchange.com","ok","200","f81b49f3e9cf0132b62f0f4f841b0bb7","8","Conversation Exchange: https://linkedin.com/company/conversation-exchange | Language Exchange using a Chat Software: https://www.conversationexchange.com/chat-search.php?lg=en | Membership: https://www.conversationexchange.com/members/membership.php?lg=en | Advertise on Conversation Exchange: https://www.conversationexchange.com/advertise.php?lg=en | Tips: https://www.conversationexchange.com/resources/tips.php?lg=en"
"Talk4Now","""Talk4Now"" language exchange LinkedIn Instagram Facebook X official app store talk4now.com","ok","200","0d7f3481756a114eff14570ed32da2b2","8","English Speaking Practice Online for Beginners | Talk4Now: https://talk4now.com/ | What Is Talk4Now? A Live Voice Room for Language Practice | Talk4Now: https://talk4now.com/what-is-talk4now | Practice Languages Online | Talk4Now: https://talk4now.com/practice | About Us | Talk4Now: https://talk4now.com/about | Community Forums — Talk4Now | Talk4Now: https://talk4now.com/forums"
"meeTalk","meeTalk language exchange app LinkedIn Instagram Facebook Google Play official","ok","200","20219615e8535d8f6c2863484be5619f","8","meeTalk: Global Chat – Apps on Google Play: https://play.google.com/store/apps/details?hl=en_IN&id=com.defenzy.meetalk | Privacy and Security - meeTalk: https://meetalk.net/privacy | Download MeeTalk 1.4 APK for Android - Free and Safe Download: https://apkpure.net/meetalk/com.meetalk/download | MeeTalk - 2026 Company Profile & Competitors - Tracxn: https://tracxn.com/d/companies/meetalk/__6cB0uGopa3227ws54whTvL1yJS7OjBpPx976Se7Sa4Q | meeTalk｜note: https://note.com/meetalk"
"LangPal","LangPal language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","b9fe38760117a2a5530665d789a525b7","8","LangPal - Turn Class Notes into Fluency: https://langpal.ai/ | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/us/app/langpal-screen-time-language/id6760652205 | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/ie/app/langpal-screen-time-language/id6760652205 | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/sa/app/langpal-screen-time-language/id6760652205 | LangPal for Teachers — Turn Class Vocabulary into Student Learning: https://langpal.ai/teachers"
"MatchaLingua","""MatchaLingua"" language exchange LinkedIn Instagram Facebook App Store Google Play official","ok","200","0081d2c7797aa530781586034a653896","8","Treine seu Inglês com MatchLingue | Home: https://www.matchlingue.com/ | Langmatch: Language Exchange App: https://langmatch.app/ | ‎Linglo - Language Exchange App - App Store: https://apps.apple.com/us/app/linglo-language-exchange/id6747976041 | Make Japanese Friends−Langmate: https://play.google.com/store/apps/details?id=co.thoron.langmate&hl=en_US | Language Exchange Langmatch 17+: https://apps.apple.com/ng/app/language-exchange-langmatch/id1441242535"
"Slowly","Slowly app LinkedIn Instagram Facebook X App Store Google Play official","ok","200","ae2a26596ef1ddde331921e751d4a418","8","Slowly - Penpal Reimagined: https://slowly.app/ | ‎Slowly: Make Global Friends App - App Store: https://apps.apple.com/us/app/slowly-make-global-friends/id1199811908 | Slowly: Make Global Friends – Apps on Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_GB | Slowly: Make Global Friends - Apps on Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_CA | Slowly: Make Global Friends – Apps on Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_IN"
"FluentPal","""FluentPal"" language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","67b2b4490afe216d79b39029dd12a95c","8","‎FluentPal - Get fluent faster App - App Store: https://apps.apple.com/us/app/fluentpal-get-fluent-faster/id6462874346 | FluentPal: Get fluent faster - Apps on Google Play: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_US | FluentPal 4+: https://apps.apple.com/us/app/fluentpal/id6462874346 | FluentPal: Get fluent faster: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_GB | FluentPal - Language Learning with AI: https://fluentpal.app/vi"
