"名称","赛道/边界","补证结论","优先级","Exa结果数","来源查询ID","种子URL","原因","requestIds","证据"
"Conversifi","language exchange / university","边界参照","medium","12","language_exchange_companies","https://conversifi.com/","定位清楚，偏大学语言与文化交换；更像垂直/B2B 场景，缺少开放消费社交增长信号，作为 HelloTalk/Tandem 边界参照保留。","9266f92ac9f4c43eed30316dc98b89da | b5f95151c568fd65dab3d7542028a47f","Conversifi: https://conversifi.com/ | INT'L CAFE: https://intlcafe.io/ | Language and Cultural Exchange for College Students | Conversifi: https://conversifi.com/ | X - Connecting Language Learners - Conversifi | Connecting the World in Conversation: https://conversifi.com/connecting-language-learners/"
"LingoPraxis","language exchange long tail","长尾留档","medium","12","lingopraxis_growth","https://lingopraxis.com/","有官网、商店和真人语言练习定位，但 targeted Exa 补证仍未找到融资、强增长、社媒声量或开放消费社交规模信号；作为长尾覆盖保留，不升级主表。","9b3aa407c9f502b49fbc919aef330972 | 4673ae809240077106e203a556bfa984","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | INT'L CAFE: https://intlcafe.io/ | LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis: Language Exchange 4+: https://apps.apple.com/ua/app/lingopraxis-language-exchange/id6446861184"
"Plannit","planning / travel adjacent","排除主表","low","12","offline_social_discovery_companies","https://plannit.in/","结果更偏计划工具、AI business plan 或 travel creator booking，不是 HelloTalk/Tandem 或 AI 社交核心竞品。","b839e174eb15770eb5e765cdc927e12f | 8679cd4c52a86df95a02b91d4a303485","Plannit: https://plannit.in/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Former Priceline execs debut Plannin, a booking platform that uses travel influencers to help plan trips | TechCrunch: https://techcrunch.com/2024/05/30/plannin-travel-booking-platform-for-creators/ | Plannit AI Unveils Revolutionary AI Business Plan Generator: https://www.openpr.com/news/3443121/plannit-ai-unveils-revolutionary-ai-business-plan-generator"
"Meetup","IRL incumbent reference","边界参照","medium","12","local_activity_social_companies","https://meetup.com/","是线下活动/见面基础设施的老牌参照；不属于 AI-native 新产品，但适合作为 IRL 渠道和用户需求参照。","af893150cd09ce46a5aa798ee87ea101 | 39b639fe53d6472dd2da337129351f50","Meetup: https://meetup.com/ | MeetMux: https://meetmux.com/ | Meetup's new mobile app is designed to make it easier to meet people IRL: https://www.engadget.com/mobile/meetups-new-mobile-app-is-designed-to-make-it-easier-to-meet-people-irl-150000920.html | Meetup Unveils Fresh New Design as Gen Z and Millennials Crave More In-Person Interactions: https://www.businesswire.com/news/home/20250930663024/en/Meetup-Unveils-Fresh-New-Design-as-Gen-Z-and-Millennials-Crave-More-In-Person-Interactions"
"Around Me","local search adjacent","排除主表","low","12","offline_social_company_boundary","https://aroundme.co/","补证结果更像本地搜索工具 AroundMe，而不是社交或 AI 社交产品。","b300621d94da460d8588f144786c0cd2 | 6369775934fc6de5f8e8e15e2ee6b5c5","Around Me: https://aroundme.co/ | SewaYou: https://sewayou.com/ | Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/ | Navigate road trips easier with this app: https://www.audacy.com/krld/news/national/navigate-road-trips-easier-with-this-app"
"SoMe AI","AI-native social candidate","信号复核","high","12","offline_social_company_boundary","https://socialwithsome.com/","有 AI/social 方向和同类新闻信号，但需确认 SoMe AI 与 Series/Shapes/Status 等结果是否为同一实体或相邻噪声。","eab51b4a5cd2d07f9dd4545788f8ee93 | f5b39e2effb7c5e777a19afbe9951cc3","SoMe AI: https://socialwithsome.com/ | Socialode: https://socialode.com/ | Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch: https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/ | Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch: https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/"
"Time2Talk","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://time2talk.app/","出现具体产品/公司名，但当前补证结果不足以升级主表。","918ca430b3d341b071700aa614c9b1ac | e8479d8347fa985fbe7f0623e610d63f","Time2Talk: https://time2talk.app/ | INT'L CAFE: https://intlcafe.io/ | Time2talk (Educational Software) 2026 Company Profile: Valuation, Funding & Investors | PitchBook: https://pitchbook.com/profiles/company/498175-57 | Time2Talk: https://linkedin.com/company/time2talkapp"
"Lingopanda (previously PingoLearn)","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://lingopanda.app/","出现具体产品/公司名，但当前补证结果不足以升级主表。","42bd881452b97b2a4fa586bf77149ad4 | 21a09c4fabb6d3beed445ece0832c69d","Lingopanda (previously PingoLearn): https://lingopanda.app/ | INT'L CAFE: https://intlcafe.io/ | Lingopanda: https://www.lingopanda.app/ | Lingopanda: Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.pingolearn.languages"
"Languages Live Gesellschaft Lokalisierung mbH","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://mylanguageexchange.com/","出现具体产品/公司名，但当前补证结果不足以升级主表。","d54f5d064f4d7e1d96912019b305bcd5 | 8bb3185865623c25cfe690426f8a658a","Languages Live Gesellschaft Lokalisierung mbH: https://mylanguageexchange.com/ | INT'L CAFE: https://intlcafe.io/ | Tandem DeutschConnect: Language learning for integration, financed by the EU: https://tandem.net/blog/deutsch-connect | WRD wants to do for language learning what GPS did for navigation — remove the thinking | VentureBeat: https://venturebeat.com/business/wrd-wants-to-do-for-language-learning-what-gps-did-for-navigation-remove-the-thinking"
"Plang, Inc.","unclassified candidate","候选补证","medium","12","lingopraxis_growth","https://plang.ai/","出现具体产品/公司名，但当前补证结果不足以升级主表。","c371bff43e8c88a797abaed436f7193f | b50b6b4eaf867992f95e9bc74fe07c32","Plang, Inc.: https://plang.ai/ | LingoPraxis - English Speaking Club: https://lingopraxis.com/ | 플랭, AI 영어 회화 서비스로 시리즈A 투자 유치 < 보도자료 < AI 기업 < AI산업 < 기사본문 - AI타임스: https://www.aitimes.com/news/articleView.html?idxno=155477 | [경기창경센터 창업도약] 병오년 한 해를 질주할 ‘적토마’ 같은 스타트업 (4)｜동아일보: https://www.donga.com/news/It/article/all/20260106/133105847/1"
