"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","known","Awestruck: the world's first AI for your free time | YourStory","2026-06-05T08:09:10.000Z","https://yourstory.com/2026/06/awestruck-the-worlds-first-ai-for-your-free-time","## Awestruck is the world's first AI for your free time, a new way to discover and book the best of what is happening around you. It’s AI, Awwee, reads your mood, your budget and who you are with, then finds the one experience you will love nearby and books it in under a minute. [...] Friday June 05, 2026 , 4 min Read [...] It is neither a directory to search nor a feed to scroll. It is a platform designed to underst"
"线下真人社交","critical","known","Eat No Solo: Eating alone is becoming the norm: One app wants to fix that - Ireland","2026-06-04T11:31:11.000Z","https://www.europesays.com/ie/518189/","People have never been more digitally connected yet more people are eating alone than ever before. One startup founder in Luxembourg believes the answer is not another social network, but dinner with a stranger. [...] Eat No Solo, a new app recently launched in Luxembourg and parts of Germany, aims to bring strangers together for spontaneous meals or drinks in public places, without the swiping and endless messaging "
"线下真人社交","critical","known","Can We Swipe Our Way to Friendship? | KQED","2026-06-04T11:00:36.000Z","https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship","Friendship apps and curated dinners are helping people connect in a lonely moment. But they can only open the door. The effort and the follow-up are still on us. [...] Kelsea Manion, Emily Marroquin, Morgan Ezeir, Wing Tovbis, and Jenn Hobbs laugh together as they play “Hues and Cues” at Victory Point Cafe in Berkeley, Calif., on Thursday, April 23, 2026. The group of women met through a friendship app called RealRoo"
"线下真人社交","critical","known","Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28T10:10:47.000Z","https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/","Breeze Launches IRL Group Dates Across London - Global Dating Insights [...] Breeze has launched real-life group date events across London, marking the first time since the platform has moved beyond the conventional one-on-one dating format in any official capacity. The current structure allows for up to eight singles at a venue, with no pre-emptive chats or meetings required – attendees simply show up and take part "
"线下真人社交","critical","known","WeRoad raises $58M and expands to the US with Airbnb | WeRoad","2026-05-27T08:26:00.000Z","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","WeRoad raises $58M and expands to the US with Airbnb | WeRoad [...] # WeRoad closes a $58 million Series C round. And now, we’re heading to the United States [...] WeRoad closes a €58 million round to accelerate international growth and launch in the US. The Italian travel-tech company aims to scale its group travel model for Millennials and Gen Z globally. [...] - $58 million Series C round closed by WeRoad, led by "
"线下真人社交","critical","known","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch","2026-05-27T08:00:00.000Z","https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch [...] WeRoad, the Milan-based group travel startup, has raised a $58 million Series C round led by Airbnb as it prepares for its first major expansion outside Europe. The funding brings the company’s total capital raised to roughly $100 million and will finance WeRoad’s push into the U.S., beginning with Austin. [...] The new in"
"融资 / 商业化","high","known","Town Raises $55M to Expand Personalized AI Assistant  - Ventureburn","2026-06-04T00:00:00.000Z","https://ventureburn.com/town-raises-55m-to-expand-personalized-ai-assistant/","Town has closed a $55 million Series B funding round led by General Catalyst to rapidly scale its personalised AI assistant ecosystem. [...] Town has closed a $55 million Series B funding round to accelerate the deployment of its highly personalised, context-aware artificial intelligence companion. It is a turning point for the company as it moves from a one-in-a-million viral, invite-only productivity app into the l"
"融资 / 商业化","high","known","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03T11:49:43.000Z","https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune [...] # Town’s AI assistants learn your life—Andreessen Horowitz and Forerunner just backed the vision with $55 million [...] 2026 [...] Town builds AI assistants with distinct avatars and personalities meant to give users their time back.Courtesy of Town [...] Jean-Denis Gréze’s AI assistant is a silver fox w"
"融资 / 商业化","high","known","Sekai Raises $26M in Seed and Series A as Users Create, Play, and Remix 15 Million Mini-Apps - FinanceWire - Financial Press Release Distribution, Finance PR","2026-06-02T21:12:29.000Z","https://financewire.com/2026/06/02/sekai-raises-26m-in-seed-and-series-a-as-users-create-play-and-remix-15-million-mini-apps/","Sekai Raises $26M in Seed and Series A as Users Create, Play, and Remix 15 Million Mini-Apps - FinanceWire - Financial Press Release Distribution, Finance PR [...] # Sekai Raises $26M in Seed and Series A as Users Create, Play, and Remix 15 Million Mini-Apps [...] Funding, co-led by Khosla Ventures and Connect Ventures, will scale engineering and product and deepen Sekai’s creator partnerships with Creative Artists A"
"融资 / 商业化","high","known","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment","2026-06-02T03:31:00.000Z","https://www.prnewswire.com/apac/news-releases/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment-302787864.html","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment Accessibility Statement Skip Navigation [...] SINGAPORE, June 2, 2026 /PRNewswire/ -- Aippy, the world's first AI-native game community developed by NADA AI, today announced that it has raised tens of millions of dollars in its first funding round led by Glowill Capital, bringing its post-mo"
"融资 / 商业化","high","known","Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps","2026-06-02T00:00:00.000Z","https://pulse2.com/sekai-raises-26-million-to-build-a-social-platform-for-ai-created-mini-apps/amp/","Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps [...] # Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps [...] Sekai announced it has raised $26 million in funding to accelerate the growth of its social platform that enables users to create, play, and remix AI-generated mini-apps. The funding round was led by Khosla Ventures and Connect Ventures, with participa"
"融资 / 商业化","high","known","Sekai raises $20 million as people create 15 million AI mini apps","2026-06-01T13:00:04.000Z","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding","Sekai raises $20 million as people create 15 million AI mini apps [...] # Exclusive: Sekai raises $20M for AI app creation [...] Sekai has raised a $20 million Series A to grow a platform for creating mini apps through text prompts, founder and CEO Lucky Zhang exclusively tells Axios. [...] Why it matters: The founder, who previously sold startups to Apple and TikTok parent ByteDance, is betting AI-generated software"
"中国 AI 社交出海","high","known","MiniMax reports big growth as it plans Mainland China listing","2026-06-01T03:45:56.000Z","https://www.asiatechreview.com/p/minimax-reports-big-growth-as-it","### AI challenger claims fast-growing international business and new model as it eyes new listing to supplement Hong Kong IPO [...] MiniMax is on the charge after it revealed major growth ahead of reports that it is planning to list in China, following its initial IPO in Hong Kong in January. [...] The company raised $620 million for its HKEX listing and its share price is up nearly 5x since then. Rival Zhipu went pu"
"中国 AI 社交出海","high","known","China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post","2026-05-28T09:00:05.000Z","https://www.scmp.com/tech/tech-trends/article/3355156/chinas-minimax-records-1-million-client-base-fivefold-growth-half-year","China’s MiniMax records 1-million client base, [...] in half a year | South China Morning Post [...] ### Its global user base reaches 300 million while ARR more than doubles in two months, though company reports large total losses [...] Chinese artificial intelligence (AI) company MiniMax says it recorded a fivefold surge in its global enterprise and developer client base over the past six months, highlighting the sh"
"Residual IRL watchlist","medium","known","Partiful threw its own party, complete with free cigs, a Tamagotchi necklace, and a bong packed with Smarties – DNYUZ","2026-06-05T15:49:27.000Z","https://dnyuz.com/2026/06/05/partiful-threw-its-own-party-complete-with-free-cigs-a-tamagotchi-necklace-and-a-bong-packed-with-smarties/","Partiful hosted a party during New York Tech Week. [...] - Partiful is an app for hosting parties. I went to one of the company’s own parties. - The social startup recently launched ticketing and threw a party during New York Tech Week. - Young tech workers unwound with the Partiful team after days of networking — and got some free cigs. [...] The events app, which has become the way Gen Z plans just about everything"
"语言交换 / 跨文化社交","medium","known","[INTERVIEW] UC Berkeley graduate creates AI-powered app to make learning Korean more immersive - The Korea Times","2026-06-05T03:00:03.000Z","https://www.koreatimes.co.kr/business/20260605/uc-berkeley-graduate-creates-ai-powered-app-to-make-learning-korean-more-immersive","## How Teuida turns language lessons into real-life simulations [...] While weighing his next career move, Jang began exploring startup ideas. A government-backed entrepreneurship program gave him the opportunity to turn one of them into reality in 2019. [...] The venture that emerged became Teuida, an artificial intelligence (AI)-powered language-learning app now used by millions around the world. [...] Seven years "
"Residual IRL watchlist","medium","known","TikTok's new Events app rewards users for generating buzz about big events - Tubefilter","2026-06-05T00:05:41.000Z","https://www.tubefilter.com/2026/06/04/tiktok-pro-events-app-world-cup/","With the World Cup fast approaching, TikTok is leveraging its position as FIFA‘s first ever “Preferred Platform” with the launch of a new, separate app called TikTok Pro Events. [...] Per TechCrunch, Pro Events will let users complete fan challenges to earn a currency called “Stars” that can be redeemed for swag. For the World Cup specifically, users can earn Stars by searching trending hashtags related to the compet"
"Coverage signal watchlist","medium","known","Town Raises $55M to Expand Personalized AI Assistant  - Ventureburn","2026-06-04T12:56:46.000Z","https://ventureburn.com/town-raises-55m-to-expand-personalized-ai-assistant/","Town has closed a $55 million Series B funding round led by General Catalyst to rapidly scale its personalised AI assistant ecosystem. [...] The funding will support product development, deeper integrations, and wider adoption. [...] Town has closed a $55 million Series B funding round to accelerate the deployment of its highly personalised, context-aware artificial intelligence companion. It is a turning point for t"
"投放 / 付费获客证据","medium","known","New Billion Dollar Boy Research, Powered By DAIVID, Reveals How Creator Instinct® Drives Brand Impact on Social - ExchangeWire.com","2026-06-04T00:00:00.000Z","https://www.exchangewire.com/blog/2026/06/04/new-billion-dollar-boy-research-powered-by-daivid-reveals-how-creator-instinct-drives-brand-impact-on-social/","DAIVID, the creative intelligence platform, today (4th June, 2026) announces its role in powering Creator Instinct®: Unlocking the Social Code, a new research report from Billion Dollar Boy, the social agency with Creator Instinct®, to decode and systemise what truly drives performance in creator-led content and how brands can apply those learnings to drive tangible brand impact. [...] Powered by the analysis of 5,00"
"投放 / 付费获客证据","medium","known","Why Admiral Media built an AI creative system that reduced fasting app costs 70% | The Drum","2026-06-03T22:11:00.000Z","https://www.thedrum.com/awards-case-study/why-admiral-media-built-an-ai-creative-system-that-reduced-fasting-app-costs-70","Admiral Media’s campaign for Fastic has won a Silver in AI at The Drum Awards for addressing a key challenge in subscription-based digital marketing: scaling creative output without sacrificing performance or brand coherence. The agency developed the proprietary AI Creative Factory, a tool that automates creative production by combining generative AI with real-time performance data. This is the award-winning case stu"
"Coverage signal watchlist","medium","known","Town Raises $55M Series A From a16z and Forerunner to Build the AI Assistant That Learns How You Work | Markets Insider","2026-06-03T15:45:00.000Z","https://markets.businessinsider.com/news/stocks/town-raises-55m-series-a-from-a16z-and-forerunner-to-build-the-ai-assistant-that-learns-how-you-work-1036221588","Town Raises $55M Series A From a16z and Forerunner to Build the AI Assistant That Learns How You Work | Markets Insider [...] SAN FRANCISCO, June 03, 2026 (GLOBE NEWSWIRE) -- Town, the personalized AI assistant that learns how people work across the tools they already use, today announced a $55 million Series A led by Andreessen Horowitz, with participation from Forerunner Ventures and continued support from First Ro"
