"来源层","查询ID","类别","requestId","结果数","唯一域名数","头部来源域名","查询语句"
"main research","language_exchange_companies","company","072a2590fb7e281805e9605a44794775","12","12","blablalanguageexchange.com (1) | conversationexchange.com (1) | conversifi.com (1) | fluentpal.net (1) | govar.online (1)","companies and apps similar to HelloTalk and Tandem for language exchange social networking native speaker chat voice rooms pen pals"
"main research","language_exchange_growth_signals","news","09dfbee8a9fdfbece13ee0822fb572ce","12","10","hellotalk.com (2) | play.google.com (2) | apps.apple.com (1) | hilokal.com (1) | m.10100.com (1)","HelloTalk Tandem Lingbe Speaky Slowly SewaYou Hilokal language exchange app users growth social features voice rooms 2024 2025 2026"
"main research","new_language_exchange_companies","company","1bba76dca132fa34d58eb4de797e161b","12","12","conversationexchange.com (1) | fluentpal.net (1) | hellotalk.com (1) | hilokal.com (1) | lang-pal.com (1)","new language exchange social apps 2024 2025 2026 similar to HelloTalk Tandem SewaYou Hilokal Slowly Linguado LangPal MatchaLingua native speaker matching nearby cultural exchange"
"main research","ai_social_funding_news","news","5dc7432e5d96e7cb00f07201a18e83f9","12","9","techcrunch.com (4) | finsmes.com (1) | gamesbeat.com (1) | geekwire.com (1) | globenewswire.com (1)","AI social app AI companion consumer social entertainment startup funding 2024 2025 2026 Butterflies Daze Dippy Tolan Pengu Status AI"
"main research","ai_companion_roleplay_funding_news","news","7b14646a0011c9351ac342c34e12daa9","12","12","businesswire.com (1) | ctinsider.com (1) | fortune.com (1) | markets.businessinsider.com (1) | ohyashima.com (1)","AI companion roleplay app funding 2024 2025 2026 Replika Character.AI Nomi Kindroid PolyBuzz Chai Talkie MiniMax Linky HiWaifu Oh Dippy"
"main research","mature_ai_companion_products","company","6cde523deb19fce5e86e48df454f808c","12","12","blush.ai (1) | chai.ai (1) | character.ai (1) | chatfai.com (1) | janitor-ai.org (1)","AI companion apps Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI company product users revenue"
"main research","mature_ai_companion_news","news","2d07433aaebc07a2ea92d0d2a2aae1cd","12","12","36kr.com (1) | aalto.fi (1) | ainews.com (1) | arstechnica.com (1) | digitaltoday.co.kr (1)","Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI funding revenue growth safety news 2024 2025 2026"
"main research","china_ai_companion_exports","news","ca9214668f94ab574ebd50176ee3155f","12","12","baijing.cn (1) | bbtnews.com.cn (1) | chinatalk.media (1) | ciw.news (1) | implicator.ai (1)","Chinese AI companion app overseas Talkie MiniMax PolyBuzz Linky HiWaifu Oh AI roleplay app downloads revenue funding 2024 2025 2026"
"main research","ai_social_entertainment_news","news","e15f392903420ac24cb6eb5d03437299","12","11","techcrunch.com (2) | app.dealroom.co (1) | ascoltavc.com (1) | axios.com (1) | contentgrip.com (1)","AI social network interactive entertainment app funding 2024 2025 2026 Butterflies Status AI Series Oasiz Daze social media RPG fanfiction"
"main research","offline_ai_social_news","news","52e8c9a1162cb172ea960d5c2972d5ab","12","11","trysignalbase.com (2) | africa.businessinsider.com (1) | fastcompany.com (1) | foxbusiness.com (1) | mazech.com (1)","AI powered offline social app funding IRL friends dinner strangers meetups 222 Pie Timeleft 2024 2025 2026"
"main research","offline_social_discovery_companies","company","4a6d3dd8022f0df2b9c691e3b7f4aa18","12","12","getpie.app (1) | greatnight.us (1) | homiiworld.com (1) | kaiwa.club (1) | magictable.in (1)","offline social discovery apps meet new friends IRL dinner strangers events algorithm matching 222 Pie Timeleft Saturday Plots Partiful"
"main research","offline_events_boundary_news","news","ed1ad1b05b9c465da5e2de26ea8a5e29","12","12","africa.businessinsider.com (1) | ainvest.com (1) | futureparty.com (1) | inc.com (1) | nbcchicago.com (1)","IRL social events app funding 2024 2025 2026 Partiful Plots Saturday 222 Pie Timeleft friends events meetup social discovery"
"main research","ai_dating_irl_news","news","e5b40794921be579859581e4e253fbeb","12","11","globaldatinginsights.com (2) | abc7news.com (1) | apps.apple.com (1) | businesswire.com (1) | independent.co.uk (1)","AI dating app offline dates anti swiping IRL meetups funding launch 2024 2025 2026 Breeze Hinge Tinder Bumble Thursday dating app"
"main research","group_travel_irl_news","news","4498c67cc314b4c2c6303c83513586a8","12","12","api.finexus.net (1) | eu-startups.com (1) | newmarketpitch.com (1) | phocuswire.com (1) | rentalscaleup.com (1)","group travel social app funding 2024 2025 2026 WeRoad Airbnb millennials Gen Z strangers travel friends community"
"main research","local_activity_social_companies","company","2105fbe69ab7e7d08a686e634bdcfab6","12","12","aglow.life (1) | encoredays.com (1) | getsaturday.com (1) | link.social (1) | meet5.club (1)","local activity social apps meet new friends over 40 Gen X group activities IRL social app Meet5 Aglow Luma Posh Plots Saturday"
"main research","offline_social_company_boundary","company","a3989a32c2599ad948b9e0523b98c962","12","12","aroundme.co (1) | getpie.app (1) | getsaturday.com (1) | offlyn.life (1) | partiful.com (1)","companies offline social app events meetups friends Partiful Plots Saturday Posh Luma Timeleft 222 Pie AI matching"
"main research","ai_companion_research","research paper","68cc66572f3036ae7748dc61d5b7411b","12","5","arxiv.org (6) | link.springer.com (2) | sciencedirect.com (2) | dl.acm.org (1) | frontiersin.org (1)","AI companion social relationships loneliness teens Replika Character.AI Nomi research paper 2024 2025 2026"
"main research","offline_loneliness_research","research paper","570cf224cf12aec3d44c769879ae64c5","12","5","link.springer.com (5) | pmc.ncbi.nlm.nih.gov (3) | frontiersin.org (2) | mdpi.com (1) | sciencedirect.com (1)","offline social connection loneliness social apps algorithmic matching in-person meetups research 2024 2025 2026"
