"扫描ID","扫描主题","候选名称","发布日期/月","赛道","金额/规模信号","处理状态","下一步动作","原始标题","证据","摘要"
"ai_friend_wearables","AI friend / wearable companion","Bee raises $7M for its wearable AI assistant that learns from your conversations","2024.07","AI friend / wearable companion","raises","边界留档","保留为 AI wearable companion 的边界融资样本，不进入核心 AI 社交/IRL 融资升级队列。","Bee raises $7M for its wearable AI assistant that learns from your conversations | TechCrunch","https://techcrunch.com/2024/07/29/former-squad-and-twitter-execs-raise-7m-to-build-a-hardware-ai-assistant/","Bee raises $7M for its wearable AI assistant that learns from your conversations | TechCrunch [...] # Bee raises $7M for its wearable AI assistant that learns from your conversations [...] 10:10 AM PDT · July 29, 2024 [...] The promise of AI and large language models (LLMs) is the ability to understand increasingly wider amounts of context and make sense of "
"ai_companion_funding_expansion","AI companion funding expansion","AI companion apps on track to pull in $120M in 2025","2025.08","AI companion","$120M","已并入市场判断","作为 financial/market 背景口径保留，不计入产品融资总额。","AI companion apps on track to pull in $120M in 2025","https://finance.yahoo.com/news/ai-companion-apps-track-pull-173842786.html","to pull in $12 [...] Demand for AI “companion” applications outside of bigger names, like ChatGPT and Grok, is growing. Of the 337 active and revenue-generating AI companion apps available worldwide, 128 were released in 2025 so far, according to new data provided to TechCrunch by app intelligence firm Appfigures. This subsection of the AI market on mobile h"
"ai_dating_discovery","AI dating / offline dating","MTCH 8-K 2026.02.03 EX99.2","","AI dating / IRL dating","Revenue","已并入市场判断","作为 financial/market 背景口径保留，不计入产品融资总额。","MTCH 8-K 2026.02.03 EX99.2","https://www.sec.gov/Archives/edgar/data/891103/000089110326000020/mtch8-k20260203ex992.htm","We have compelling 2026 product roadmaps across the company, and, at Tinder, I’m [...] confident that by the end of this year the product will feel meaningfully different. [...] turnaround and continuing to invest in Hinge®. [...] In 2026, we expect Tinder Y/Y Direct Revenue declines to be similar to 2025 as we [...] continue to make product changes to impro"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.06","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Sekai raises $20 million as people create 15 million AI mini apps","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding","Sekai raises $20 million as people create 15 million AI mini apps [...] Sekai raises $20 [...] Sekai has raised a $20 million Series A to grow a platform for creating mini apps through text prompts, founder and CEO Lucky Zhang exclusively tells Axios. [...] Why it matters: The founder, who previously sold startups to Apple and TikTok parent ByteDance, is bet"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Known","2026.05","AI dating / IRL dating","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area [...] # Stanford dropouts raise nearly $10M to launch AI-driven dating app [...] ## The new app, called Known, uses an interactive chatbot to build personality profiles and gives users a strict 24-hour window to agree to a face-to-face date. [...] Allen, talk about [...] Two former St"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.05","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Astrocade Raises $56M in New Funding to Build a New Era of Interactive Entertainment | Astrocade Blog","https://www.astrocade.com/blog/astrocade-raises-56m-funding","Astrocade Raises $56M in New Funding to Build a New Era of Interactive Entertainment | Astrocade Blog [...] # Astrocade Raises $56M in New Funding to Build a New Era of Interactive Entertainment [...] May 5th, 2026 [...] We're thrilled to announce $56M in new funding. The funding includes a Series B led by Sequoia Capital and a Series A led by Sea, with part"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.05","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Status AI Raises $17 Million to Turn Social Media Into Worlds Users Can Live Inside - Fundraise Insider","https://fundraiseinsider.com/blog/status-ai-raises-17-million-to-turn-social-media-into-worlds-users-can-live-inside/","Status AI Raises $17 Million to Turn Social Media Into Worlds Users Can Live Inside - Fundraise Insider [...] Status AI, an interactive social media app, has announced $17 million in combined seed and Series A funding. The backers include General Catalyst, Y Combinator, LightShed Partners, and Abstract. The raise reflects a wager that the next chapter of con"
"ai_social_games_funding","AI social games / playable social funding","Status AI","2026.05","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch [...] # Forget the feed: Status AI raises $17M to turn social media into interactive entertainment [...] 7:00 AM PDT · [...] Like many young people of her generation, Fai Nur was what she called a “chronically online teenager.” She obsessed over music grou"
"ai_friend_wearables","AI friend / wearable companion","Friend","2026.04","AI friend / wearable companion","Funding","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Friend: Funding, Team & Investors | Startup Intros","https://startupintros.com/orgs/friend","Wearable AI pendant, a screenless companion for voice interactions, powered by LLMs, helping individuals combat loneliness. [...] Updated:Apr 16, 2026 Suggest an Edit [...] Raised$3.0M [...] Friend develops a wearable AI pendant that functions as a screenless companion by continuously processing voice interactions and sending real-time text responses to a co"
"irl_social_funding_expansion","IRL social funding expansion","Series","2026.04","IRL / offline social","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch [...] # Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage [...] 2:05 PM PDT [...] Series, a social networking app, announced that it raised a $5.1 million pre-seed round, with investors including Venmo co-founder Iqram "
