"来源层","查询ID","类别","requestId","关联状态","复核层级","复核结论","匹配实体","匹配类型","复核原因","发布日期","原始标题","URL"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","Talk4Now | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Talk4Now","https://talk4now.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","meeTalk | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-25T00:00:00.000Z","meeTalk: Global Chat","https://quiksa.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Conversation Exchange","https://conversationexchange.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","Linguado","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Linguado","https://linguado.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","HelloTalk","https://hellotalk.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","SewaYou | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-02T00:00:00.000Z","SewaYou","https://sewayou.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","Friend","funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-28T00:00:00.000Z","PenPal","https://penpal.me/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","MatchaLingua","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-16T00:00:00.000Z","MatchaLingua","https://matchalingua.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","Tandem | Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Tandem","https://tandem.net/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","linked","linked","已关联","FluentPal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","FluentPal AB","https://fluentpal.net/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-26T00:00:00.000Z","LingoPraxis - English Speaking Club","https://lingopraxis.com/"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-29T00:00:00.000Z","Conversifi","https://conversifi.com/"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","HelloTalk - Learn Languages with Native Speakers | HelloTalk","https://www.hellotalk.com/en/"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tandem | SewaYou | Slowly | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-21T18:59:36.000Z","Best Language Exchange Apps in 2026: What Actually Works","https://www.sewayou.com/blog/best-language-exchange-apps-2026"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","Hilokal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","","Hilokal - Language exchange for free speaking practice","https://www.hilokal.com/en"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tandem | SewaYou | Plots / Saturday / Posh | Friend","official/social evidence | product matrix | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-21T15:27:24.000Z","HelloTalk vs Tandem: Which Language Exchange App Is Better in 2026?","https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T09:12:24.000Z","Best Language Learning Chat Apps in 2026 [Ranked for Real Practice] - HelloTalk Blog | HelloTalk","https://www.hellotalk.com/en/blog/best-language-learning-chat-apps-2026"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tandem | Hilokal | Lingbe | Friend | Lingbe / SpeakyParrot / Fluently","official/social evidence | funding candidate review | discovery review","已关联到主表、时间线或官方/社媒证据。","2026-01-18T09:26:27.000Z","The 12 Best Language Exchange Apps for Fluent Conversations in 2026 | Translate AI Blog | Translate AI","https://www.translate-ai.app/articles/best-language-exchange-apps"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tandem | Hilokal | Friend | Bumble Bee","official/social evidence | funding candidate review | funding timeline","已关联到主表、时间线或官方/社媒证据。","","HelloTalk - Learn Languages - Apps on Google Play","https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tinder Live Events","official/social evidence | funding timeline","已关联到主表、时间线或官方/社媒证据。","2025-06-19T18:36:36.000Z","96%的自然增长，在大厂没做成的赛道，这家创业公司悄悄做到6000万用户｜对话一线_腾讯新闻","https://news.qq.com/rain/a/20250619A08BA600"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Slowly","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","Best Language Exchange Apps in 2026 - Ranked for Real Speaking Practice","https://www.hellotalk.com/en/blog/best-language-exchange-apps"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tandem | Slowly","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","Slowly: Cari Teman Curhat","https://play.google.com/store/apps/details?id=com.slowlyapp&hl=id"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2025-06-18T22:00:00.000Z","96%的自然增长，在大厂没做成的赛道，这家创业公司悄悄做到6000万用户｜对话一线- 大数跨境","https://m.10100.com/article/1173965"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","linked","linked","已关联","HelloTalk | Tandem | Hilokal | Conversation Exchange | Lingbe | Friend | Lingbe / SpeakyParrot / Fluently","official/social evidence | funding candidate review | discovery review","已关联到主表、时间线或官方/社媒证据。","2022-08-10T23:51:10.000Z","HelloTalk - Language Learning","https://apps.apple.com/il/app/hellotalk-language-learning/id557130558"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","MatchaLingua","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-16T00:00:00.000Z","MatchaLingua","https://matchalingua.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","SewaYou | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-02T00:00:00.000Z","SewaYou","https://sewayou.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","Linguado","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Linguado","https://linguado.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","LangPal","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-01T00:00:00.000Z","LangPal","https://lang-pal.com/"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","linked","linked","已关联","Talk4Now | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Talk4Now","https://talk4now.com/"
