"名称","覆盖状态","线下模式","进入主表","融资/新闻事件数","monitor 近窗信号数","证据强度","来源层","所有结论","原因","下一步校验","融资/新闻证据","monitor 证据","原始证据"
"Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data","monitor-known","dating / matchmaking","yes","1","1","strong","monitor recent","已覆盖/继续观察","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","保留为 IRL 重点样本，monitor 新信号直接进入融资/增长复核。","2026.05 Known nearly $10M / AI voice dating app: https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","2026-06-17 monitor · 投放 / 付费获客证据 Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data: https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/","投放 / 付费获客证据: https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/"
"222","core","dinner / restaurant","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 SV Post：10.1M Series A；people 查询返回 CTO Arman Roshannai、26 人团队、+44.5% YoY。 / $10.1M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2025.12 222 $10.1M Series A: https://svpost.com/articles/222-10m-series-a/","","$10.1M Series A: https://svpost.com/articles/222-10m-series-a/ | Startuply: https://startuply.vc/startup/222-nn5rhh"
"Breeze","core-boundary","dating / matchmaking","yes","1","0","solid","competitive matrix | funding/news timeline | supplemental funding/news","已入 IRL 主表 | 已入近两年 IRL/边界事件 | 补充 IRL/AI dating 信号","Exa monitor 新增提醒返回 The Independent：Breeze 2025 进入伦敦，强调 date nights without endless swiping。 / UK launch / anti-swipe IRL dating news / IRL dating US launch","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.05 Breeze UK launch / anti-swipe IRL dating news: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html","","UK launch / anti-swipe IRL dating news: https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html | Taking Online Dates Offline: Dating App Breeze Launches in the U.S., Starting with NYC: https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC"
"Meet5","core-boundary","local activity / nearby","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa news 返回 Business Insider Africa：德国 IRL social app 约 900 万美元 Series A，面向 Gen X / baby boomers 的线下群组活动并扩张美国。 / about $9M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2025 Meet5 about $9M Series A: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0","","about $9M Series A: https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0"
"Partiful","core-boundary","events / party","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa boundary news 返回 Partiful 2024 年 20M Series A；CNBC/NBC 结果提到 2025 年新增 200 万用户。 / $20M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2024.11 Partiful $20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections","","$20M Series A: https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections | NBC/CNBC: https://www.nbcchicago.com/news/business/money-report/meet-partiful-the-gen-z-party-planning-staple-thats-taking-on-apple/3726123/"
"Pie","core","local activity / nearby","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 TechCrunch 与 Fox Business：AI matching 帮用户 make real-world friends。 / $11.5M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2025.03 Pie $11.5M Series A: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/","","$11.5M Series A: https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/ | Fox Business: https://www.foxbusiness.com/lifestyle/new-social-media-app-uses-ai-help-users-make-real-world-friends"
"Plots / Saturday / Posh","core-boundary","events / party","yes","1","0","solid","competitive matrix","已入 IRL 主表","Exa company boundary 查询返回 Plots、Saturday、Posh、Around Me 等线下活动/附近兴趣产品。","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.03 Posh $37M Series B: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/","","Plots: https://plots.events/ | Saturday: https://getsaturday.com/ | Posh: https://posh.vip/"
"Posh","supplemental-signal","dating / matchmaking","yes","1","0","solid","supplemental funding/news","补充 IRL/AI dating 信号","$37M Series B","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.03 Posh $37M Series B: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/","","Exclusive: Posh lands $37M Series B to crack the 'what are we doing tonight?' problem | Fortune: https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/"
"Thursday","core-boundary","dating / matchmaking","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa AI dating 专项结果返回 TechCrunch：Thursday dating app 2024 年扩张旧金山，主张每周四集中匹配和线下活动。 / San Francisco launch / offline dating events","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2024.08 Thursday San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/","","San Francisco launch / offline dating events: https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/"
"Timeleft","core","dinner / restaurant","yes","1","0","solid","competitive matrix | funding/news timeline","已入 IRL 主表 | 已入近两年 IRL/边界事件","Exa 返回 Signalbase：7M Series A；people 查询返回 CEO Maxime Barbier 和 100+ cities GTM/partnership 线索。 / $7M Series A","补一轮官方、社媒或下载量证据，再决定是否提升展示优先级。","2026.03 Timeleft $7M Series A: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding","","$7M Series A: https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding | 官网: https://timeleft.com/"
