"来源层","查询ID","类别","requestId","结果数","唯一域名数","头部来源域名","查询语句"
"main research","language_exchange_companies","company","1e094a8145a2e11a053648bddfb0033e","12","12","conversationexchange.com (1) | conversifi.com (1) | fluentpal.net (1) | inatlantis.com (1) | lang-pal.com (1)","companies and apps similar to HelloTalk and Tandem for language exchange social networking native speaker chat voice rooms pen pals"
"main research","language_exchange_growth_signals","news","858356a94ab40b379ab124abfc536658","12","11","hellotalk.com (2) | 10100.com (1) | apps.apple.com (1) | hilokal.com (1) | play.google.com (1)","HelloTalk Tandem Lingbe Speaky Slowly SewaYou Hilokal language exchange app users growth social features voice rooms 2024 2025 2026"
"main research","new_language_exchange_companies","company","727c6488434c54bfee420dbe900a427a","12","12","conversationexchange.com (1) | fluently.chat (1) | fluentpal.net (1) | hellotalk.com (1) | hilokal.com (1)","new language exchange social apps 2024 2025 2026 similar to HelloTalk Tandem SewaYou Hilokal Slowly Linguado LangPal MatchaLingua native speaker matching nearby cultural exchange"
"main research","ai_social_funding_news","news","10b3e12dfe58dae9f3003c3b18e1ec2b","12","8","techcrunch.com (4) | geekwire.com (2) | imp.news (1) | intelligentcio.com (1) | pocketgamer.biz (1)","AI social app AI companion consumer social entertainment startup funding 2024 2025 2026 Butterflies Daze Dippy Tolan Pengu Status AI"
"main research","ai_companion_roleplay_funding_news","news","51f7283e7eb7c6292b5c4a08e1b5ad68","11","11","businesswire.com (1) | fortune.com (1) | itbusinesstoday.com (1) | ohyashima.com (1) | optimisus.com (1)","AI companion roleplay app funding 2024 2025 2026 Replika Character.AI Nomi Kindroid PolyBuzz Chai Talkie MiniMax Linky HiWaifu Oh Dippy"
"main research","mature_ai_companion_products","company","35167625f8bdc36d9e1bb4a7c15ae74f","12","12","blush.ai (1) | chai.ai (1) | character.ai (1) | chatfai.com (1) | janitor-ai.org (1)","AI companion apps Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI company product users revenue"
"main research","mature_ai_companion_news","news","6e3a141c6c0bfbe05faca8bb7c0c9c9f","11","11","ainews.com (1) | digitaltoday.co.kr (1) | esafety.gov.au (1) | insurancejournal.com (1) | lasvegassun.com (1)","Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI funding revenue growth safety news 2024 2025 2026"
"main research","china_ai_companion_exports","news","53fceeaf694e1cddb677a3194c39e326","12","11","chinatalk.media (2) | aipressa.com (1) | eu.36kr.com (1) | netmarvel.com (1) | news.qq.com (1)","Chinese AI companion app overseas Talkie MiniMax PolyBuzz Linky HiWaifu Oh AI roleplay app downloads revenue funding 2024 2025 2026"
"main research","ai_social_entertainment_news","news","2eba1279a0eabe29fd8b36e7abd583ed","12","11","techcrunch.com (2) | bbc.com (1) | einpresswire.com (1) | finalboss.io (1) | gamesbeat.com (1)","AI social network interactive entertainment app funding 2024 2025 2026 Butterflies Status AI Series Oasiz Daze social media RPG fanfiction"
"main research","offline_ai_social_news","news","90c4bf92d16e1337b44233ebe32b4f0c","12","10","techcrunch.com (2) | trysignalbase.com (2) | ainvest.com (1) | b17news.com (1) | foxbusiness.com (1)","AI powered offline social app funding IRL friends dinner strangers meetups 222 Pie Timeleft 2024 2025 2026"
"main research","offline_social_discovery_companies","company","d12fb609010d2a7a5c80b719a2300bff","12","12","getpie.app (1) | greatnight.us (1) | homiiworld.com (1) | kaiwa.club (1) | magictable.in (1)","offline social discovery apps meet new friends IRL dinner strangers events algorithm matching 222 Pie Timeleft Saturday Plots Partiful"
"main research","offline_events_boundary_news","news","e5dd58157faf08a64b1cbda2ba5c291d","11","11","ainvest.com (1) | apps.apple.com (1) | b17news.com (1) | digitalmarketreports.com (1) | mazech.com (1)","IRL social events app funding 2024 2025 2026 Partiful Plots Saturday 222 Pie Timeleft friends events meetup social discovery"
