"产品/公司","分组","证据类型","证据"
"Conversation Exchange","语言交换官网 / 应用商店 / 社媒证据","官网 + LinkedIn","官网: https://tandem.net/ | 官网: https://www.conversationexchange.com/ | LinkedIn: https://linkedin.com/company/conversation-exchange | 官网: http://conversationexchange.com/index.php?lg=ru | 官网: https://www.conversationexchange.com/advertise.php?lg=en"
"HelloTalk","语言交换官网 / 应用商店 / 社媒证据","官网 + Google Play + App Store + LinkedIn","官网: https://www.hellotalk.com/en/ | 官网: https://www.hellotalk.com/en/download | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk | Google Play: https://play.google.com/store/apps/details?hl=en&id=com.hellotalk | App Store: https://apps.apple.com/us/app/hellotalk-language-learning/id557130558 | Google Play: https://play.google.com/store/apps/details?id=com.hellotalk&hl=en_IE | LinkedIn: https://linkedin.com/company/hellotalk | Google Play: https://play.google.com/store/apps/details?id=com.hellotalk&hl=en_GB"
"Hilokal","语言交换官网 / 应用商店 / 社媒证据","官网 + Google Play + App Store + LinkedIn","官网: https://www.hilokal.com/en | Google Play: https://play.google.com/store/apps/details?id=com.hilokal&hl=en | App Store: https://apps.apple.com/us/app/hilokal-language-exchange-app/id1537500613 | App Store: https://apps.apple.com/pk/app/language-exchange-with-hilokal/id1537500613 | LinkedIn: https://linkedin.com/company/hilokal | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hilokal | Google Play: https://play.google.com/store/apps/details?id=com.hilokal&hl=en_CA | App Store: https://apps.apple.com/au/app/hilokal-ai-language-learning/id1537500613"
"SewaYou","语言交换官网 / 应用商店 / 社媒证据","Google Play + 官网","Google Play: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_GB | 官网: https://www.sewayou.com/blog/best-language-exchange-apps-2026 | 官网: https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison | 官网: https://www.sewayou.com/ | 官网: https://www.sewayou.com/en | Google Play: https://play.google.com/store/apps/details?hl=en&id=com.sewayou | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.sewayou | Google Play: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_SG"
"Slowly","语言交换官网 / 应用商店 / 社媒证据","官网 + App Store + Google Play + LinkedIn","官网: https://slowly.app/ | App Store: https://apps.apple.com/us/app/slowly-make-global-friends/id1199811908 | Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_US | Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_CA | App Store: https://apps.apple.com/rs/app/slowly-make-global-friends/id1199811908 | Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_IN | Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_GB | LinkedIn: https://linkedin.com/company/slowly"
"Tandem","语言交换官网 / 应用商店 / 社媒证据","官网 + Google Play + LinkedIn","官网: https://tandem.net/ | Google Play: https://play.google.com/store/apps/details?id=net.tandem&hl=en_US | Google Play: https://play.google.com/store/apps/details?id=net.tandem&hl=en_CA | Google Play: https://play.google.com/store/apps/details?id=net.tandem&hl=en_SG | Google Play: https://play.google.com/store/apps/details?id=net.tandem&hl=en_IE | 官网: https://www.sewayou.com/blog/hellotalk-vs-tandem-honest-comparison | Google Play: https://play.google.com/store/apps/details/Tandem_Language_exchange?id=net.tandem&hl=en_ZA | LinkedIn: https://linkedin.com/company/tandem---mobile-language-exchange/"
"Butterflies AI","AI 社交 / companion / 泛娱乐官网与应用商店证据","Google Play + App Store + LinkedIn","Google Play: https://play.google.com/store/apps/details?id=ai.butterflies.ios&hl=en_US | App Store: https://apps.apple.com/us/app/butterflies-talk-to-real-ais/id6471347348 | App Store: https://apps.apple.com/us/app/butterflies-escape-reality/id6471347348 | LinkedIn: https://linkedin.com/company/butterflies-ai | App Store: https://apps.apple.com/gb/app/butterflies-talk-to-real-ais/id6471347348 | App Store: https://apps.apple.com/au/app/butterflies-talk-to-real-ais/id6471347348"
"Daze","AI 社交 / companion / 泛娱乐官网与应用商店证据","官网 + App Store + Google Play","官网: https://daze.chat/ | App Store: https://apps.apple.com/us/app/daze-freeform-chat/id6497405419 | Google Play: https://play.google.com/store/apps/details?id=com.marblemedia.dazechat&hl=en | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.marblemedia.dazechat | App Store: https://apps.apple.com/il/app/daze-freeform-chat/id6497405419"
"Shapes","AI 社交 / companion / 泛娱乐官网与应用商店证据","App Store + 官网 + Google Play","App Store: https://apps.apple.com/us/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/gb/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/in/app/shapes-inc-ai-with-friends/id6747601762 | App Store: https://apps.apple.com/gy/app/shapes-inc-ai-with-friends/id6747601762?platform=ipad | App Store: https://apps.apple.com/ca/app/shapes-inc-ai-with-friends/id6747601762 | 官网: https://talk.shapes.inc/ | Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.shapes.shapesinc | App Store: https://apps.apple.com/ca/app/shapes-inc-groupchats-with-ai/id6747601762"
"Status AI","AI 社交 / companion / 泛娱乐官网与应用商店证据","官网","官网: https://www.statusai.com/ | 官网: https://www.statusai.com/about | 官网: https://www.statusai.com/press"
