"产品/公司","Exa query","状态","HTTP","requestId","结果数","Top results"
"Tandem","Tandem language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","10177edcd77c5ff89cfafeb798b6e1a6","8","Tandem Language Exchange App | Find Conversation Exchange ...: https://tandem.net/ | Download the app - Tandem: https://tandem.net/download | Tandem: Language exchange - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=net.tandem | Tandem - Language Exchange | LinkedIn: https://linkedin.com/company/tandem---mobile-language-exchange/ | ‎Tandem: Practice Languages App - App Store: https://apps.apple.com/us/app/tandem-practice-languages/id959001619"
"Hilokal","Hilokal language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","d900b9d9bb1e1831a452738c3b4e9e48","8","Hilokal - Language exchange for free speaking practice: https://www.hilokal.com/en | Hilokal - LinkedIn: https://linkedin.com/company/hilokal | Hilokal - AI Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hilokal | ‎Hilokal: Language Exchange App App - App Store: https://apps.apple.com/us/app/hilokal-language-exchange-app/id1537500613 | Hilokal - AI Language Learning: https://play.google.com/store/apps/details?id=com.hilokal&hl=en_CA"
"SewaYou","SewaYou language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","6ddc9f14f692dc3493035c107ab3e03e","8","SewaYou | International & Japanese Friends App: https://www.sewayou.com/ | SewaYou | International & Japanese Friends App: https://www.sewayou.com/en | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_GB | SewaYou - Japanese Friends - Apps on Google Play: https://play.google.com/store/apps/details?hl=en&id=com.sewayou | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_ZA"
"Conversation Exchange","""Conversation Exchange"" language exchange LinkedIn Facebook Instagram X official website conversationexchange.com","ok","200","2caa0ede82de410d2fd04b031869056a","8","Conversation Exchange: https://linkedin.com/company/conversation-exchange | Intercambio de Idiomas - Practica idiomas con hablantes nativos: https://www.conversationexchange.com/?lg=es | Language Exchange using a Chat Software: https://www.conversationexchange.com/chat-search.php?lg=en | Conversation Exchange - учите язык вместе с носителем: http://conversationexchange.com/index.php?lg=ru | Advertise on Conversation Exchange: https://www.conversationexchange.com/advertise.php?lg=en"
"Talk4Now","""Talk4Now"" language exchange LinkedIn Instagram Facebook X official app store talk4now.com","ok","200","d1bbdc10d2089b8fe903c3d559097ac4","8","Talk4Now - English Speaking Practice Online for Free | Talk4Now: https://talk4now.com/ | What Is Talk4Now? A Live Voice Room for Language Practice | Talk4Now: https://talk4now.com/what-is-talk4now | About Us | Talk4Now: https://talk4now.com/about | Practice Languages Online | Talk4Now: https://talk4now.com/practice | Community Forums — Talk4Now | Talk4Now: https://talk4now.com/forums"
"meeTalk","meeTalk language exchange app LinkedIn Instagram Facebook Google Play official","ok","200","ee775e357547a251f59542ddbeee5a7c","8","meeTalk: Global Chat – Apps on Google Play: https://play.google.com/store/apps/details?hl=en_IN&id=com.defenzy.meetalk | meeTalk: Global Chat: https://linkedin.com/company/meetalkapp | Privacy and Security - meeTalk: https://meetalk.net/privacy | MeeTalk - 2026 Company Profile & Competitors - Tracxn: https://tracxn.com/d/companies/meetalk/__6cB0uGopa3227ws54whTvL1yJS7OjBpPx976Se7Sa4Q | Download MeeTalk 1.4 APK for Android - Free and Safe Download: https://apkpure.net/meetalk/com.meetalk/download"
"LangPal","LangPal language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","58e1577b075e6919b34335d9aaa3683d","8","LangPal - Turn Class Notes into Fluency: https://langpal.ai/ | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/us/app/langpal-screen-time-language/id6760652205 | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/ie/app/langpal-screen-time-language/id6760652205 | LangPal for Teachers — Turn Class Vocabulary into Student Learning: https://langpal.ai/teachers | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/sa/app/langpal-screen-time-language/id6760652205"
"MatchaLingua","""MatchaLingua"" language exchange LinkedIn Instagram Facebook App Store Google Play official","ok","200","c0695783cbf6806d5d6766ad3c281f55","8","Langmatch: Language Exchange App: https://langmatch.app/ | Language Exchange Langmatch 17+: https://apps.apple.com/ng/app/language-exchange-langmatch/id1441242535 | ‎Lingua Talk App - App Store: https://apps.apple.com/us/app/lingua-talk/id6746571204 | Treine seu Inglês com MatchLingue | Home: https://www.matchlingue.com/ | LingoLink - Chat Fluently: https://apps.apple.com/us/app/lingolink-chat-fluently/id6756944318"
"Slowly","Slowly app LinkedIn Instagram Facebook X App Store Google Play official","ok","200","9e706990b5f7a1a604dd1c5ec4670eea","7","Slowly - Penpal Reimagined: https://slowly.app/ | Slowly: Make Global Friends - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.slowlyapp | ‎Slowly: Make Global Friends App - App Store: https://apps.apple.com/us/app/slowly-make-global-friends/id1199811908 | ‎Slowly: Make Global Friends App - App Store: https://apps.apple.com/rs/app/slowly-make-global-friends/id1199811908 | Slowly: Make Global Friends – Apps on Google Play: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_GB"
"FluentPal","""FluentPal"" language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","e36312f5d6ed6c458c508f7371724c57","8","‎FluentPal - Get fluent faster App - App Store: https://apps.apple.com/us/app/fluentpal-get-fluent-faster/id6462874346 | FluentPal: Get fluent faster - Apps on Google Play: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_US | FluentPal 4+: https://apps.apple.com/us/app/fluentpal/id6462874346 | FluentPal: Get fluent faster: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_GB | FluentPal Ltd: https://linkedin.com/company/fluentpal"
