"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","known","FTLO Launches South of France & Barcelona Trip for Single Travelers Who Want to Mingle | TravelAwaits","2026-06-18T12:55:00.000Z","https://www.travelawaits.com/3026774/ftlo-launches-trip-for-single-travelers-in-south-of-france-and-barcelona/","# FTLO Launches South of France & Barcelona Trip for Single Travelers Who Want to Mingle | TravelAwaits ... FTLO is a travel company that creates immersive trips for travelers aged 25-29 years. ... Their goal? To empower solo travelers to get out in the world without going it alone. Their specialty? Helping travelers make connections that last a lifetime—with places, with fellow group members, with new acquaintances."
"线下真人社交","critical","known","OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables","2026-06-18T00:00:00.000Z","https://www.pureeconomic.com/2026/06/18/opentobites-launches-app-that-enables-diners-to-find-company-by-sharing-tables/","OpenToBites Launches App That Enables Diners to Find Company by Sharing Tables ... By helping people find friendly company for a meal out, the app is suitable for solo travelers, newcomers to town, and locals who are open to sharing a meal with someone new ... United States, 18th Jun 2026 —OpenToBites has launched its mobile app, which enables diners to find company by sharing tables at restaurants. Available on iOS "
"中国 AI 社交出海","high","known","引爆港股A股两地行情，市场为何「抢购」MiniMax？-36氪","2026-06-18T02:42:11.000Z","https://36kr.com/p/3631961200722951","MiniMax港交所上市，AI板块沸腾。 ... 1月9日，MiniMax正式登陆港交所。交易数据显示，MiniMax开盘后涨幅持续拉升，最终收涨109%，市值突破千亿港元大关。 ... 港股和A股市场的AI板块也被全面引燃。从收盘 ... 看，港股市场中，讯飞医疗科技上涨约20%，第四范式上涨约7%。A股人工智能板块出现罕见共振，其中昆仑万 ... 19.99%涨停，三六 ... 上涨超6%，带动万得多模态 ... 这一切都有迹可循。根据MiniMax此前公布的配发结果，其公开发售部分获得1837倍超额认购，国际发售部分最终获配37倍认购。热烈的市场环境下，公司超额配售选择权（绿鞋机制）也有望全额行使，最终募集资金总额可达约55.4亿港元。 ... 2025年前九个月公司营收达到了5344万美元，同比增长174.7%。截至2025年9月30日，MiniMax已有超过200个国家及地区的逾2.12亿名个人用户，其中海外市场收入贡"
"研究 / 政策风险","high","known","Frontiers | The adaptive ecological trap: a grounded theory study of adolescent AI dependency","2026-06-18T01:32:34.000Z","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2026.1839672/full","Regarding emotional function compensation, generative AI serves as a low-risk, highly controllable “ideal partner”. Through algorithmic analysis of user input, it provides seemingly precise, empathetic, and tirelessly responsive feedback. This undoubtedly offers a safe, non-judgmental emotional outlet for adolescents experiencing social anxiety or loneliness (Xie et al., 2025). Previous studies indicated that a signi"
"融资 / 商业化","high","known","Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu","2026-06-17T13:00:00.000Z","https://tech.eu/2026/06/17/tryll-launches-ai-gaming-engine-alpha-and-secures-600k-pre-seed-funding/","Tryll launches AI gaming engine alpha and secures $600K pre-seed funding - Tech.eu ... # Tryll launches AI gaming engine alpha and secures $600K pre-seed funding ... Tryll has secured new funding and launched the closed alpha of its on-device AI engine, enabling game developers to build AI-powered characters and voice interactions that run directly on players’ hardware. ... Tryll, the company behind an on-device AI e"
"中国 AI 社交出海","high","known","China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17T09:06:42.000Z","https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/","In Beijing, Shanghai, and dozens of smaller cities, millions of young Chinese are spending real money on relationships that do not exist. AI companion apps, offering virtual girlfriends, boyfriends, and conversational partners, have grown into a multi-billion-dollar industry that is reshaping consumer spending habits and attracting serious investment from the country's largest technology companies. ... The market for"
"投放 / 付费获客证据","medium","known","Meta’s Advantage+ Creative Is Quietly Rewiring DTC Ad Strategy – Online Store News","2026-06-20T02:59:38.000Z","https://onlinestorenews.com/metas-advantage-creative-is-quietly-rewiring-dtc-ad-strategy/","For the past six months, a quiet but consequential shift has been rippling through DTC advertising teams, performance agencies, and Shopify-native brands with five- and six-figure monthly Meta budgets. Meta’s Advantage+ Creative — the platform’s suite of AI-powered tools that automatically adjusts ad formats, headlines, image crops, and call-to-action text — has matured well beyond its 2023 beta into something that b"
"投放 / 付费获客证据","medium","known","MojiMoshi Embeds AI Agents Inside Telegram and Line, No App Needed - AINews","2026-06-20T02:32:06.000Z","https://ainews.cool/article/20260620-mojimoshi-ai-agent-telegram-line","MojiMoshi has quietly launched a platform that embeds persistent, context-aware AI agents directly into existing messaging apps—starting with Telegram and Line. Users do not download a new app or learn a new interface; they simply add an agent to a chat, and it stays there, remembering past conversations, answering questions, and performing tasks on demand. This approach inverts the dominant paradigm of AI delivery. "
"语言交换 / 跨文化社交","medium","known","HelloTalk - Learn Languages - Apps on Google Play","2026-06-18T14:16:12.287Z","https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk","Tandem: Language exchangeTripod Technology GmbH4.1 ... Hilokal - AI Language LearningHiLokal3.9"
"Coverage signal watchlist","medium","known","Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch","2026-06-18T12:00:00.000Z","https://techcrunch.com/2026/06/18/pixis-new-ios-app-turns-text-messages-into-interactive-ar-experiences/","Pixi's new iOS app turns text messages into interactive AR experiences | TechCrunch ... Pixi’s new iOS app turns text messages into interactive AR experiences ... Forget stickers, GIFs, and emoji reactions. Pixi is betting that the next evolution of messaging is interactive augmented reality (AR). ... The startup launched its messaging-native app on the App Store on Wednesday, allowing users to send AI-powered AR cha"
"Coverage signal watchlist","medium","known","Character.AI is adding new tools for chatbot creators. | The Verge","2026-06-17T16:00:00.000Z","https://www.theverge.com/ai-artificial-intelligence/951461/character-ai-is-adding-new-tools-for-chatbot-creators","Character.AI is adding new tools for chatbot creators. | The Verge The homepageThe Verge logo. The homepageThe Verge logo. Posted Jun 17, 2026 at 4:00 PM UTC E Emma Roth Character.AI is adding new tools for chatbot creators. A new dashboard will show a creator’s most popular AI characters, along with metrics including interactions, likes, and discoveries. Character.AI is also launching a feature that will notify foll"
"投放 / 付费获客证据","medium","known","CloudX Takes A Swing At Black‑Box Mobile UA With Agentic Buying Tools | AdExchanger","2026-06-17T13:00:22.000Z","https://www.adexchanger.com/mobile/cloudx-takes-a-swing-at-black-box-mobile-ua-with-agentic-buying/","CloudX, which launched into general availability in February, uses AI agents to handle mobile monetization tasks, such as setting price floors, updating line items and managing SDK integrations. ... On Wednesday, the company launched agentic buying, which lets publishers acquire users directly from other apps without going through an ad network. The capability is in a private beta running through Q3 with a small grou"
"投放 / 付费获客证据","medium","known","Twice As Many Americans Are Now Using AI Companions Than Dating Apps: SensorTower Data","2026-06-17T10:25:34.000Z","https://officechai.com/ai/twice-as-many-americans-are-now-using-ai-companions-than-dating-apps-sensortower-data/","New data from SensorTower, part of its upcoming State of AI 2026 report, tracks total hours Americans spent on AI companion apps versus dating and social discovery platforms every quarter from early 2025 through the start of 2026. The two lines don’t just diverge, they swap places entirely on what used to be a settled question about where people put their attention when they’re looking for connection. ... In Q1 2025,"
"投放 / 付费获客证据","medium","known","China&#039;s AI Companion Apps Hit $7 Billion — Tech Giants Race to Cash In | singaporeinformer.com","2026-06-17T09:06:42.000Z","https://singaporeinformer.com/2026/06/17/chinas-ai-companion-apps-hit-7-billion-tech-giants-race-to-cash-in/","In Beijing, Shanghai, and dozens of smaller cities, millions of young Chinese are spending real money on relationships that do not exist. AI companion apps, offering virtual girlfriends, boyfriends, and conversational partners, have grown into a multi-billion-dollar industry that is reshaping consumer spending habits and attracting serious investment from the country's largest technology companies. ... The market for"
"投放 / 付费获客证据","medium","known","Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews","2026-06-17T00:00:00.000Z","https://www.topgmnews.com/2026/06/17/happn-expands-its-presence-in-london-with-first-outdoor-advertising-campaign/","Happn Expands Its Presence in London With First Outdoor Advertising Campaign – Topgmnews ... Dating platform Happn is making a bold move in the UK market with the launch of its first-ever outdoor advertising campaign across London. The initiative highlights the company’s unique location-based dating experience and reflects a growing interest in more meaningful, real-life connections in the digital dating era. ... The"
"投放 / 付费获客证据","medium","new","OpenAI Automates Ad Creative for ChatGPT Ads | Let's Data Science","2026-06-17T00:00:00.000Z","https://letsdatascience.com/news/openai-automates-ad-creative-for-chatgpt-ads-8ce461d0","Digiday reports that OpenAI updated its Ad Tools Terms Document to state that ""OpenAI may make available AI-powered Creative Tools that allow you to generate, modify, transform, optimize, localize, or translate advertising creatives using Ad Materials."" OpenAI's ads landing page and industry coverage show a broader rollout of ChatGPT Ads features, including an Ads Manager, bulk upload or in-tool creative creation, an"
