"扫描ID","扫描主题","候选名称","发布日期/月","赛道","金额/规模信号","处理状态","下一步动作","原始标题","证据","摘要"
"ai_companion_funding_expansion","AI companion funding expansion","AI Companion App Revenue Surges 30% in Q1 2026; Zeta Leads Global Growth Rankings","2026.04","AI companion","Revenue","待复核候选","复核公司/产品边界、金额口径和是否应升级进补充融资新闻或主时间线。","AI Companion App Revenue Surges 30% in Q1 2026; Zeta Leads Global Growth Rankings","https://aipressa.com/top-stories/ai-companion-app-revenue-surges-30-in-q1-2026-zeta-leads-global-growth-rankings/","AI Companion App Revenue Surges 30% in Q1 2026; Zeta Leads Global Growth Rankings ... The market for AI companion apps is experiencing rapid growth, with a notable surge in revenue driven primarily by Korean applications. A report from the mobile data analytics firm Sensor Tower, released on Tuesday, indicated that global in-app purchase revenue for these ap"
"ai_dating_discovery","AI dating / offline dating","Investors Inject $9.2m into AI Dating App Ditto for Yacht Blind Dates","2026.02","AI dating / IRL dating","$9.2m","待复核候选","复核公司/产品边界、金额口径和是否应升级进补充融资新闻或主时间线。","Investors Inject $9.2m into AI Dating App Ditto for Yacht Blind Dates | Business Post Nigeria","https://businesspost.ng/brands-products/investors-inject-9-2m-into-ai-dating-app-ditto-for-yacht-blind-dates/","About 9.2 million funding round has been secured by an AI-dating app, Ditto, for the expansion of its iMessage-based matchmaker, with the participation of Peak XV Partners, Gradient, Scribble Ventures, Alumni Ventures, and Llama Venture. ... The iMessage-based matchmaker plans real dates for users, handling everything from the match to logistics, so students"
"ai_companion_funding_expansion","AI companion funding expansion","Sukidayo, AI Couple App “Riamo” Secures Seed Funding – BRIDGE","2026.01","AI companion","Seed","边界留档","Riamo 是 AI couple/companion app 的区域性 seed funding 信号，先保留为 companion 边界融资样本，待补更强用户规模和社交机制后再升级。","Sukidayo, AI Couple App “Riamo” Secures Seed Funding – BRIDGE","https://thebridge.jp/en/2026/01/sukidayo-ai-couple-app-riamo-secures-seed-funding","Sukidayo, AI Couple App “Riamo” Secures Seed Funding – BRIDGE - Share this article - x - facebook Image Credit: Sukidayo On the 14th,すきだよ, the developer and operator of the AI couple app “Riamo,” announced that it has raised a total of ¥85 million in a seed round. Investors include mint, i-nest, UNERI, ANRI, and Kayac. Riamo is an AI couple app designed to d"
"ai_companion_funding_expansion","AI companion funding expansion","AI companion apps on track to pull in $120M in 2025","2025.08","AI companion","$120M","已并入市场判断","作为 financial/market 背景口径保留，不计入产品融资总额。","AI companion apps on track to pull in $120M in 2025 | TechCrunch","https://techcrunch.com/2025/08/12/ai-companion-apps-on-track-to-pull-in-120m-in-2025/","AI companion apps on track to pull in $120M in 2025 | TechCrunch ... on track to pull in $1 ... in 20 ... Demand for AI “companion” applications outside of bigger names, like ChatGPT and Grok, is growing. Of the 337 active and revenue-generating AI companion apps available worldwide, 128 were released in 2025 so far, according to new data provided to TechCru"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.06","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Sekai raises $20 million as people create 15 million AI mini apps","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding","Sekai raises $20 million as people create 15 million AI mini apps ... # Exclusive: Sekai raises $20M for AI app creation ... Sekai has raised a $20 million Series A to grow a platform for creating mini apps through text prompts, founder and CEO Lucky Zhang exclusively tells Axios. ... Why it matters: The founder, who previously sold startups to Apple and Tik"
"ai_companion_funding_expansion","AI companion funding expansion","Charms","2026.05","AI companion","$1.5M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Charms closes $1.5M pre-seed to launch the AI character economy | TechCrunch","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/","Charms closes $1.5M pre-seed to launch the AI character economy | TechCrunch ... Technology Newswire— May 12, 2026 ... # Charms closes $1.5M pre-seed to launch the AI character economy ... Charms.ai lets anyone create AI characters with soul, memory, ownership, and an economy that grows around them. ... Charms Interactive, Inc., the company building the econ"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Known","2026.05","AI dating / IRL dating","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area Technology # Stanford dropouts raise nearly $10M to launch AI-driven dating app ## The new app, called Known, uses an interactive chatbot to build personality profiles and gives users a strict 24-hour window to agree to a face-to-face date. NBC Universal, Inc. Two Stanford dropouts, C"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.05","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Status AI Raises $17M To Make Social Media More Interactive - UrbanGeekz","https://urbangeekz.com/2026/05/status-ai-raises-17m-to-make-social-media-more-interactive/","Status AI Raises ... Status AI has secured $17 million to transform social media from passive content consumption into interactive entertainment. ... General Catalyst led the combined seed and Series A funding, with participation from Abstract, Union Square Ventures, Y Combinator, and LightShed Partners. ... Status AI was launched out of stealth in 2025 by F"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.05","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Astrocade Raises $56M in New Funding to Build a New Era of Interactive Entertainment | Astrocade Blog","https://www.astrocade.com/blog/astrocade-raises-56m-funding","We're thrilled to announce $56M in new funding. The funding includes a Series B led by Sequoia Capital and a Series A led by Sea, with participation from Google's AI Futures Fund, NVIDIA, LG Technology Ventures, Dentsu Ventures, Conviction Embed, Chaac Ventures, Rogue VC, and many more, to build a new kind of interactive entertainment platform. In just eight"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.05","AI social / entertainment","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Status AI Raises $17M Seed + Series A from General Catalyst & YC to Build Gamified AI Social World","https://www.kucoin.com/blog/status-ai-raises-17m-seed-series-a-from-general-catalyst-yc-to-build-gamified-ai-social-world","Status AI Raises $17M Seed + Series A from General Catalyst & YC to Build Gamified AI Social World ... Did you know that users have already created over 13 million virtual worlds using artificial intelligence? Status AI recently secured 17 million dollars in combined seed and Series A funding to revolutionize digital interaction. Led by General Catalyst and "
"ai_social_games_funding","AI social games / playable social funding","Status AI","2026.05","AI social / entertainment","raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch ... # Forget the feed: Status AI raises $17M to turn social media into interactive entertainment ... Like many young people of her generation, Fai Nur was what she called a “chronically online teenager.” She obsessed over music groups, TV shows, and movies"
"ai_social_games_funding","AI social games / playable social funding","Status AI","2026.05","AI social / entertainment","$17M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Status AI secures $17M to transform social media into interactive entertainment - TechAmerica.ai","https://techamerica.ai/status-ai-secures-17m-to-transform-social-media-into-interactive-entertainment","## Status AI has raised $17 million to reimagine social media as an interactive entertainment platform that blends AI-driven experiences, digital personas, and user engagement. ... Inspired by that vision, Nur joined forces with her friend Amit Bhatnagar, who had spent years building experiences within Minecraft, as well as Pritesh Kadiwala. Together, the tr"
"ai_social_games_funding","AI social games / playable social funding","Series","2026.04","AI social / entertainment","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch ... # Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage ... Series, a social networking app, announced that it raised a $5.1 million pre-seed round, with investors including Venmo co-founder Iqram Magdon-Ismail, Pear VC"
"ai_native_social_networks","AI-native social networks","Series","2026.04","AI social / entertainment","Series b","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Series bags $5.1M pre-seed to build AI-powered social network inside iMessage - FoundersToday","https://www.founderstoday.news/series-bags-5-1-millions/","#### Series, a social networking startup built around AI-assisted introductions via iMessage, has raised $5.1 million in a pre-seed funding round. ... Investors include Pear VC, Venmo co-founder Iqram Magdon-Ismail, Reddit CEO Steve Huffman, and GPTZero founder Edward Tian. The company was founded in 2025 by Yale students Nathaneo Johnson and Sean Hargrow, w"
"ai_companion_funding_expansion","AI companion funding expansion","Series","2026.04","AI companion","$3.2M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Caveduck's $3.2M Series A Validates the AI Roleplay Creator Economy | StartupXO","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/","WarpSpace, operator of the AI character platform Caveduck, has secured a 4.3 billion KRW ($3.2M) Series A round led by ID Ventures. As the global conversational AI market races toward $61.69 billion by 2032, this funding highlights a massive shift from utility-based AI to high-engagement entertainment. Founders must note the power of creator monetization and"
"irl_social_funding_expansion","IRL social funding expansion","Posh","2026.03","IRL / offline social","raise","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Meet the founders who just raised $37M to turn IRL community into the next big social platform","https://www.founded.com/posh-event-platform-founders/","Meet the founders who just raised $37M to turn IRL community into the next big social platform ... # Meet the founders who just raised $37M to turn IRL community into the next big social platform ... Avante Price and Eli Taylor-Lemire founded social event platform Posh to make discovering and hosting events feel less like a chore and more like the culture it"
"irl_social_funding_expansion","IRL social funding expansion","Series","2026.03","IRL / offline social","$37M","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Exclusive: Posh lands $37M Series B to crack the 'what are we doing tonight?' problem | Fortune","https://fortune.com/2026/03/19/exclusive-posh-lands-37m-series-b-what-are-we-doing-tonight-problem/","Exclusive: Posh lands $37M Series B to crack the 'what are we doing tonight?' problem | Fortune ... # Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem ... March 19, 2026, 7:25 AM ET ... Posh has also poached talent from Meta, Reddit, Amazon, Hinge, Spotify, Block, and Canva.Courtesy of Posh ... Event platform Posh raised "
"irl_social_funding_expansion","IRL social funding expansion","Series","2026.03","IRL / offline social","Raises","已覆盖/重复佐证","保留为现有主时间线或补充候选的佐证来源。","Timeleft Raises $7.0M Series A Funding | Signalbase","https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding","Timeleft Raises $7.0M Series A Funding | Signalbase ... Funding news Published March 24, 2026 ... Timeleft, a company dedicated to fostering genuine human connections and friendships, has announced it has secured $7.0 million in a recent funding round. This investment marks a significant milestone for the organization as it continues to develop its unique ap"
"ai_dating_funding_expansion","AI dating / matchmaking funding expansion","Ditto raises $9.2M to replace swiping with real dates for","2026.02","AI dating / IRL dating","raises","已覆盖/重复佐证","Ditto 已作为 real-date / anti-swipe dating 补充事件进入 supplemental funding/news；该来源保留为重复佐证，不再进入候选升级队列。","Ditto raises $9.2M to replace swiping with real dates for","https://www.globenewswire.com/news-release/2026/02/03/3231154/0/en/Ditto-raises-9-2M-to-replace-swiping-with-real-dates-for-college-students.html","Berkeley, Feb. 03, 2026 (GLOBE NEWSWIRE) -- For a generation that lives on their phones, dating has somehow become more time-consuming and less social. College students swipe endlessly, juggle multiple chats, and still struggle to turn matches into actual dates. Ditto was created to remove that friction entirely. Today, the company announced a $9.2 million f"
