"来源层","查询ID","类别","requestId","关联状态","复核层级","复核结论","匹配实体","匹配类型","复核原因","发布日期","原始标题","URL"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","Talk4Now | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-03T00:00:00.000Z","Talk4Now","https://talk4now.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-23T00:00:00.000Z","Conversation Exchange","https://conversationexchange.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","meeTalk | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-25T00:00:00.000Z","meeTalk: Global Chat","https://quiksa.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","Linguado","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-04-30T00:00:00.000Z","Linguado","https://linguado.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","MatchaLingua","product matrix","已关联到主表、时间线或官方/社媒证据。","2026-04-16T00:00:00.000Z","MatchaLingua","https://matchalingua.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","SewaYou | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-02T00:00:00.000Z","SewaYou","https://sewayou.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","Tandem | Conversation Exchange","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-21T00:00:00.000Z","Tandem","https://tandem.net/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","Friend","funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-05-30T00:00:00.000Z","PenPal","https://penpal.me/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","FluentPal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-27T00:00:00.000Z","FluentPal Ltd","https://fluentpal.net/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","unlinked-review","product-candidate","候选补证","","","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","2026-04-26T00:00:00.000Z","LingoPraxis - English Speaking Club","https://lingopraxis.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","linked","linked","已关联","LangPal","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-01T00:00:00.000Z","LangPal","https://lang-pal.com/"
"main research","language_exchange_companies","company","f9cdf7d1da060b95ea1e319329222632","unlinked-review","low-relevance","低相关留档","","","与本次核心市场问题关联较弱，保留在来源审计中避免误删。","2026-04-28T00:00:00.000Z","ULYS","https://ulys-europe.eu/"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","","HelloTalk - Learn Languages with Native Speakers | HelloTalk","https://www.hellotalk.com/en/"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","Hilokal | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","","Hilokal - Language exchange for free speaking practice","https://www.hilokal.com/en"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Tandem | SewaYou | Slowly | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2026-04-21T11:57:58.000Z","Best Language Exchange Apps in 2026: What Actually Works","https://www.sewayou.com/blog/best-language-exchange-apps-2026"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Tandem | Lingbe | Lingbe / SpeakyParrot / Fluently","official/social evidence | discovery review","已关联到主表、时间线或官方/社媒证据。","2026-05-28T12:00:00.000Z","The Best 7 Language Exchange Apps in 2026: How to Find Your Perfect Language Partner","https://tandem.net/blog/best-language-exchange-apps"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Tandem | Hilokal","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-06-18T01:30:02.279Z","HelloTalk - Learn Languages - Apps on Google Play","https://play.google.com/store/apps/details?hl=en_US&id=com.hellotalk"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2026-05-10T10:54:14.000Z","HelloTalk vs. Other Language Exchange Apps: Why It Gets You Practicing More Often - HelloTalk Blog | HelloTalk","https://www.hellotalk.com/en/blog/hellotalk-vs-other-language-exchange-apps"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Slowly","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","Best Language Exchange Apps in 2026 - Ranked for Real Speaking Practice","https://www.hellotalk.com/en/blog/best-language-exchange-apps"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Tandem | Hilokal | Talk4Now | Lingbe | Lingbe / SpeakyParrot / Fluently","official/social evidence | discovery review","已关联到主表、时间线或官方/社媒证据。","2026-05-23T15:49:44.000Z","5 Best Alternatives to Hilokal in 2026 | Talk4Now","https://talk4now.com/blog/best-alternatives-hilokal-2026"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","","96%的自然增长，在大厂没做成的赛道，这家创业公司悄悄做到6000万用户｜对话一线","https://www.10100.com/article/1173965"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk","official/social evidence","已关联到主表、时间线或官方/社媒证据。","2025-06-19T18:36:36.000Z","96%的自然增长，在大厂没做成的赛道，这家创业公司悄悄做到6000万用户｜对话一线_腾讯新闻","https://news.qq.com/rain/a/20250619A08BA600"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Tandem | Friend","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2025-12-23T14:34:50.000Z","HelloTalk App Review: Is This the Smartest Way to Learn a Language in 2025?","https://www.youtube.com/watch?v=P9RhXJNnfUM"
"main research","language_exchange_growth_signals","news","6acb9892c7c6bcb877e8afb579c55393","linked","linked","已关联","HelloTalk | Known","official/social evidence | funding candidate review","已关联到主表、时间线或官方/社媒证据。","2024-12-05T20:31:19.000Z","‎HelloTalk - Language Learning App - App Store","https://apps.apple.com/tj/app/hellotalk-language-learning/id557130558"
