"复核层级","复核结论","优先级","查询ID","类别","缺口数","已深挖候选数","已分流信号数","剩余数","处理状态","深挖结论","信号分流结论","下一步动作","原因","深挖候选","已分流信号","示例"
"product-candidate","候选补证","high","lingopraxis_growth","company","6","6","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 6 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate) | Time2Talk: 候选补证 (unclassified candidate) | Languages Live Gesellschaft Lokalisierung mbH: 候选补证 (unclassified candidate) | Beelinguapp: 候选补证 (unclassified candidate) | LingoLooper: 候选补证 (unclassified candidate)","","LingoPraxis: Practice speaking English online: https://lingopraxis.com/ | LingoPraxis - English Speaking Club: https://linkedin.com/company/lingopraxis | Time2Talk: https://time2talk.app/"
"product-candidate","候选补证","high","new_language_exchange_companies","company","2","3","0","0","deep-dive complete","长尾留档 | 边界参照 | 候选补证","","已完成 3 个候选的 candidate deep-dive；结论为 长尾留档 / 边界参照 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | Conversifi: 边界参照 (language exchange / university) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Conversifi: https://conversifi.com/"
"product-candidate","候选补证","high","conversation_exchange_growth","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","language_exchange_companies","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","language_exchange_long_tail","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","lingbe_growth","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","local_activity_social_companies","company","1","1","0","0","deep-dive complete","候选补证","","已完成 1 个候选的 candidate deep-dive；结论为 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Meetup.com: 候选补证 (unclassified candidate)","","Meetup.com: https://meetup.com/"
"product-candidate","候选补证","high","matchalingua_growth","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","offline_social_company_boundary","company","1","1","0","0","deep-dive complete","排除主表","","已完成 1 个候选的 candidate deep-dive；结论为 排除主表。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Around Me: 排除主表 (local search adjacent)","","Around Me: https://aroundme.co/"
"product-candidate","候选补证","high","offline_social_discovery_companies","company","1","1","0","0","deep-dive complete","排除主表","","已完成 1 个候选的 candidate deep-dive；结论为 排除主表。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Plannit: 排除主表 (planning / travel adjacent)","","Plannit: https://plannit.in/"
"product-candidate","候选补证","high","slowly_growth","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","speakyparrot_growth","company","1","2","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | LingoPraxis: Practice speaking English online: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"signal-candidate","信号复核","medium","ai_companion_social_profiles","official/social profile","4","0","0","4","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Character AI: Chat, Talk, Text - Apps on Google Play: https://play.google.com/store/apps/details?id=ai.character.app&hl=en | Character AI: Chat, Talk, Text – Apps on Google Play: https://play.google.com/store/apps/details?id=ai.character.app&hl=en_GB | Character AI: Chat, Talk, Text – Apps on Google Play: https://play.google.com/store/apps/details/Character_AI_Chat_Talk_Text?hl=en_AU&id=ai.character.app"
"signal-candidate","信号复核","medium","langpal_growth","company","3","0","0","3","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Talkpal: https://talkpal.ai/ | EZ Speak: https://ezspeak.ai/ | Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","ai_friend_wearables","news","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Hands-on with Bee, Amazon's latest AI wearable | TechCrunch: https://techcrunch.com/2026/01/12/hands-on-with-bee-amazons-latest-ai-wearable/ | AI pendants back in vogue at tech show after early setback: https://techxplore.com/news/2026-01-ai-pendants-vogue-tech-early.html"
"signal-candidate","信号复核","medium","ai_native_social_networks","news","2","0","1","1","partially signal-reviewed","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 1 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI social / entertainment)","AIs are coming for social networks | The Verge: https://www.theverge.com/2024/6/18/24181196/butterflies-app-ai-chatbots-social-media | Series bags $5.1M pre-seed to build AI-powered social network inside iMessage - FoundersToday: https://www.founderstoday.news/series-bags-5-1-millions/"
"signal-candidate","信号复核","medium","companion_long_tail","company","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Candy AI Clone: https://nsfwcoders.com/ | CupidAI: https://getcupid.ai/"
"signal-candidate","信号复核","medium","roamchat_growth","news","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Ownmates : Break down language barrier social network | The AI Journal: https://aijourn.com/ownmates-break-down-language-barrier-social-network/ | X Corp. Launches Standalone XChat Messaging App in April 2026 | MWM: https://mwm.ai/articles/x-corp-launches-standalone-xchat-messaging-app-in-april-2026"
"signal-candidate","信号复核","medium","sewayou_growth","company","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","needyou AI: https://needyou.app/ | Plang, Inc.: https://plang.ai/"
"signal-candidate","信号复核","medium","talk4now_growth","company","2","0","0","2","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Inspired AI: https://talkme.ai/ | Talkpal: https://talkpal.ai/"
"signal-candidate","信号复核","medium","ai_companion_roleplay_funding_news","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Character-Driven Behavior Change Platform “Charamix” Raises ¥100 Million from Headline Asia – BRIDGE: https://thebridge.jp/en/2026/06/character-driven-behavior-change-platform-charamix-raises-%c2%a5100-million-from-headline-asia"
"signal-candidate","信号复核","medium","ai_dating_funding_expansion","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","AI takes a swipe at the online dating scene - PitchBook: https://pitchbook.com/news/articles/ai-takes-a-swipe-at-the-online-dating-scene"
"signal-candidate","信号复核","medium","ai_social_games_funding","news","1","0","1","0","signal review complete","","已覆盖/重复佐证","已有 1 条信号进入 funding candidate review、market decision 或 funding event audit；结论为 已覆盖/重复佐证。剩余 0 条继续由 monitor 观察。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","Series: 已覆盖/重复佐证 (AI social / entertainment)","Sekai raises $20 million as people create 15 million AI mini apps: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"signal-candidate","信号复核","medium","founder_people_background","people","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Yash Serai: https://linkedin.com/in/yash-serai"
"signal-candidate","信号复核","medium","irl_social_funding_expansion","news","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Smartphones are making people lonely. This app thinks it has the cure - Fast Company: https://www.fastcompany.com/91265745/smartphones-are-making-people-lonely-this-app-thinks-it-has-the-cure"
"signal-candidate","信号复核","medium","irl_social_handles","official/social profile","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","Twitter (@twitter) | TikTok: https://www.tiktok.com/@twitter?lang=en"
"signal-candidate","信号复核","medium","irl_social_long_tail","company","1","0","0","1","queued","","","进入 monitor 近窗复核，若出现融资、上线、下载或官方证据则升级融资新闻或主表。","与 AI 社交、dating、offline social 或融资新闻相关，但未稳定匹配到当前结论实体。","","","StepOut: https://stepout.world/"
