"名称","来源","处理结论","目标主线","升级路径","动作建议","优先级","状态","发布日期","原因","证据"
"Can We Swipe Our Way to Friendship? | KQED","2026-06-04 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-06-04T11:00:36.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship"
"Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-05-28T10:10:47.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/"
"WeRoad raises $58M and expands to the US with Airbnb | WeRoad","2026-05-27 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-05-27T08:26:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us"
"Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch","2026-05-27 monitor · 线下真人社交","已覆盖/继续观察","线下真人社交","优先判断是否补 IRL 产品或融资/新闻时间线","如果出现新产品、融资金额或城市扩张，优先升级到 IRL 主线。","critical","known","2026-05-27T08:00:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","线下真人社交: https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/"
"Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-03T11:49:43.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/"
"Sekai Raises $26M in Seed and Series A as Users Create, Play, and Remix 15 Million Mini-Apps - FinanceWire - Financial Press Release Distribution, Finance PR","2026-06-02 monitor · 融资 / 商业化","已覆盖/继续观察","投放/付费获客证据","补 paid-acquisition evidence audit","用于判断是否存在明确广告投放、素材、获客成本、ROAS 或投放后下载变化；不直接升级产品或融资结论。","high","known","2026-06-02T21:12:29.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://financewire.com/2026/06/02/sekai-raises-26m-in-seed-and-series-a-as-users-create-play-and-remix-15-million-mini-apps/"
"Board, the new game startup from Mirror founder Brynn Putnam, raises $20M, has already sold thousands | TechCrunch","2026-06-02 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-02T15:56:08.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://techcrunch.com/2026/06/02/board-the-new-game-startup-from-mirror-founder-brynn-putnam-raises-20m-has-already-sold-thousands/"
"Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps","2026-06-02 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-02T12:34:36.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://pulse2.com/sekai-raises-26-million-to-build-a-social-platform-for-ai-created-mini-apps/amp/"
"Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment - TNGlobal","2026-06-02 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-02T03:31:00.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://technode.global/prnasia/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment/"
"Sekai raises $20 million as people create 15 million AI mini apps","2026-06-01 monitor · 融资 / 商业化","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-01T13:00:04.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding"
"MiniMax Launches M3 Flagship Model: Million-Token Context, Native Multimodal, as China's AI Firms Charge Into Coding Agent Battle — BigGo Finance","2026-06-01 monitor · 中国 AI 社交出海","已覆盖/继续观察","语言交换/跨文化社交","补语言交换长尾或主表功能差异","优先补增长信号、渠道和是否有线下面基/地图/语音房能力。","high","known","2026-06-01T11:25:39.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://finance.biggo.com/news/2YPugp4BLfE1EzqPqZJd"
"MiniMax reports big growth as it plans Mainland China listing","2026-06-01 monitor · 中国 AI 社交出海","已覆盖/继续观察","融资/商业化","补 funding timeline 或 funding-news review","核对日期、金额、轮次和证据源后再升级进近两年融资/新闻统计。","high","known","2026-06-01T03:45:56.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://www.asiatechreview.com/p/minimax-reports-big-growth-as-it"
"Status AI Raises $17 Million to Turn Social Media Into Worlds Users Can Live Inside - Fundraise Insider","2026-05-28 monitor · 融资 / 商业化","已覆盖/继续观察","覆盖缺口信号","补 source linkage / candidate deep-dive / funding-news review","用于追踪未闭环 signal-candidate；出现融资、上线、下载、收入或官方证据时再升级。","high","known","2026-05-28T21:18:10.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","融资 / 商业化: https://fundraiseinsider.com/blog/status-ai-raises-17-million-to-turn-social-media-into-worlds-users-can-live-inside/"
"China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post","2026-05-28 monitor · 中国 AI 社交出海","已覆盖/继续观察","中国 AI 社交出海","补 AI companion/export 观察","核对下载、收入、海外渠道和角色经济信号。","high","known","2026-05-28T09:00:05.000Z","该近窗信号已经进入 baseline、主表或既有 monitor 台账；保留在近窗队列里，用于观察热度和叙事变化。","中国 AI 社交出海: https://www.scmp.com/tech/tech-trends/article/3355156/chinas-minimax-records-1-million-client-base-fivefold-growth-half-year"
