"来源","日期","产品/公司","金额/事件","赛道","IRL/线下真人相关","明确美元融资M","证据","原始标题","摘要"
"core timeline","2024.06","Butterflies AI","$4.8M seed","AI social","no","4.8","https://www.globenewswire.com/news-release/2024/06/18/2900674/0/en/Butterflies-AI-Raises-Seed-Round-Launches-First-Social-Media-Platform-Where-People-and-AI-Friends-Co-Exist.html","",""
"core timeline","2024.11","Partiful","$20M Series A","IRL events boundary","yes","20","https://www.trysignalbase.com/news/funding/partiful-secures-20-million-in-series-a-funding-to-revolutionize-social-event-planning-and-foster-meaningful-connections","",""
"core timeline","2024.10","Dippy AI","$2.1M pre-seed","AI companion","no","2.1","https://www.finsmes.com/2024/10/dippy-ai-raises-2-1m-in-pre-seed-funding.html","",""
"core timeline","2024.10","Daze","$5.7M","AI messaging","no","5.7","https://techcrunch.com/2024/10/21/daze-a-creative-ai-powered-messaging-app-for-gen-z-is-blowing-up-prelaunch/","",""
"core timeline","2025.02","Tolan","$10M launch funding","AI companion","no","10","https://www.geekwire.com/2025/these-colorful-ai-aliens-could-be-your-new-virtual-best-friend-as-startup-lands-10m-to-launch-tolan/","",""
"core timeline","2025.03","Pie","$11.5M Series A","IRL social","yes","11.5","https://techcrunch.com/2025/03/04/andy-dunns-new-app-pie-uses-ai-to-help-you-make-friends/","",""
"core timeline","2025","Meet5","about $9M Series A","IRL social boundary","yes","9","https://africa.businessinsider.com/news/read-the-pitch-deck-that-an-irl-social-startup-targeting-gen-x-and-boomers-used-to/1vbfey0","",""
"core timeline","2026.05","Breeze","UK launch / anti-swipe IRL dating news","IRL dating boundary","yes","","https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html","",""
"core timeline","2026.05","WeRoad","$58M Series C","IRL group travel boundary","yes","58","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","",""
"core timeline","2025.04","Series","$3.1M pre-seed","AI social","no","3.1","https://www.globenewswire.com/news-release/2025/04/04/3056141/0/en/Yale-founders-raise-3-1M-in-14-days-to-build-Series-the-anti-Facebook.html","",""
"core timeline","2025.04","Pallie AI","$2M pre-seed","AI companion","no","2","https://www.prnewswire.com/news-releases/ai-companion-pallie-ai-raises-2-million-to-reduce-loneliness-and-improve-wellbeing-302441202.html","",""
"core timeline","2025.07","Tolan","$20M new funding","AI companion","no","20","https://www.geekwire.com/2025/ai-companionship-app-tolan-raises-20m-to-help-more-people-grow-with-a-virtual-alien-friend/","",""
"core timeline","2025.09","Born / Pengu","$15M Series A","AI companion","no","15","https://techcrunch.com/2025/09/10/born-maker-of-virtual-pet-pengu-raises-15m-to-launch-a-new-wave-of-social-ai-companions/","",""
"core timeline","2025.12","222","$10.1M Series A","IRL social","yes","10.1","https://svpost.com/articles/222-10m-series-a/","",""
"core timeline","2026.03","Timeleft","$7M Series A","IRL social","yes","7","https://www.trysignalbase.com/news/funding/timeleft-raises-70m-series-a-funding","",""
"core timeline","2026.04","Caveduck","$3.2M Series A","AI roleplay","no","3.2","https://startupxo.com/en/news/2026/04/caveduck-s-3-2m-series-a-validates-the-ai-roleplay-creator-economy/","",""
"core timeline","2026.04","Pictoria","¥330M","AI character","no","","https://thebridge.jp/en/2026/04/pictoria-an-ai-character-company-raises-%c2%a5330-million-in-funding","",""
"core timeline","2026.05","Charms","$1.5M pre-seed","AI character","no","1.5","https://techcrunch.com/press-release/charms-closes-1-5m-pre-seed-to-launch-the-ai-character-economy/","",""
"core timeline","2026.05","Status AI","$17M seed + Series A","AI entertainment","no","17","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/","",""
"core timeline","2026.05","RoamChat","AI roaming social launch","AI social / cross-cultural chat","no","","https://www.prnewswire.com/news-releases/as-ai-is-redefining-how-strangers-connect-globally-roamchat-introduces-a-new-roaming-social-platform-302775994.html","",""
"core timeline","2026.04","HiWaifu","未融资；约 2000 万元年营收","China AI companion export","no","","https://www.baijing.cn/article/52888","",""
"core timeline","2026.02","PolyBuzz","约 4200 万月访问量","China AI companion export","no","","https://news.qq.com/rain/a/20260204A05BK500","",""
"core timeline","2024.08","Thursday","San Francisco launch / offline dating events","IRL dating boundary","yes","","https://techcrunch.com/2024/08/08/thursday-dating-app-san-francisco-launch/","",""
"core timeline","2026.03","Bumble Bee","AI dating assistant launch","AI dating feature","yes","","https://techcrunch.com/2026/03/12/bumble-introduces-an-ai-dating-assistant-bee/","",""
"core timeline","2026.05","Tinder Live Events","live events + AI features + group dating","IRL dating feature","yes","","https://www.bloomberg.com/news/features/2026-05-20/tinder-launches-live-events-ai-features-and-group-dating-to-attract-gen-z","",""
"supplemental discovery","2024.07","Friend","$5.4M / $99 AI companion necklace","AI friend / wearable companion","no","5.4","https://techcrunch.com/2024/07/30/friend-is-an-ai-companion-backed-by-founders-of-solana-perplexity-and-zfellows/","Friend's $99 necklace uses AI to help combat loneliness | TechCrunch","Friend's $99 necklace uses AI to help combat loneliness | TechCrunch [...] to help combat loneliness [...] AI hardware is all the rage in startup land — though receptions have thus far been mixed. Two notable examples, Rabbit and Humane, released devices to disappointing results. a16z-backed Limitless and Exor-backed Bee AI, meanwhile, are working on their o"
"supplemental discovery","2024.12","Friend","$5.4M additional raise / real-world AI friend","AI friend / wearable companion","no","5.4","https://www.theverge.com/2024/12/9/24315126/friend-pendant-artificial-intelligence-companionship-avi-schiffmann","Friend’s AI chatbots have issues — and they want your help | The Verge","Friend just raised another $5.4 million to bring AI friends into the real world. [...] Friend just raised another $5.4 million to bring AI friends into the real world. [...] This is the feeling Avi Schiffmann wants to bottle with his AI companion startup, Friend. Friend debuted earlier this year with a soothing vision: it offered an AI therapist that was alw"
"supplemental discovery","2025.12","Limitless","Meta acquisition","AI wearable memory assistant","no","","https://techcrunch.com/2025/12/05/meta-acquires-ai-device-startup-limitless/","Meta acquires AI device startup Limitless | TechCrunch","Limitless, the AI startup formerly known as Rewind, has been acquired by Meta, the company announced Friday on its website. The company, which made an AI-powered pendant to record your conversations, says it will no longer sell its hardware devices and will maintain support for its existing customers for a year. [...] Customers will no longer have to pay a s"
"supplemental discovery","2025.10","Oasiz","$2.5M seed","AI-native social / playable content","no","2.5","https://www.gamespress.com/Oasiz-Raises-25M-Seed-Round-to-Launch-Social-Platform-for-Viral-Playab","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press","""Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content"" - Games Press Skip to main content [...] # Oasiz Raises $2.5M Seed Round to Launch Social Platform for Viral Playable Content [...] ## With 5,000+ games already built in beta, Oasiz combines the viral momentum of TikTok with the creative depth of Roblox [...] SAN FRANCISCO, "
"supplemental discovery","2026.04","AI iMessage social network","$5.1M pre-seed","AI-native social network","no","5.1","https://techcrunch.com/2026/04/24/two-college-kids-raise-a-5-1-million-pre-seed-to-build-an-ai-social-network-in-imessage/","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch","Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage | TechCrunch [...] Two college kids raise a $5.1 million pre-seed to build an AI social network in iMessage [...] Series, a social networking app, announced that it raised a $5.1 million pre-seed round, with investors including Venmo co-founder Iqram Magdon-Ismail, Pear "
"supplemental discovery","2026.03","Tinder Live Events","IRL events / virtual speed dating","IRL dating feature","yes","","https://www.startupheist.com/the-anti-tinder-arbitrage/","The Anti-Tinder Arbitrage","Dating apps are losing 600K users while IRL events surge 42 percent. The infrastructure layer underneath this shift doesn't exist yet. [...] Between May 2023 and May 2024, Tinder lost 594,000 users in the UK. Hinge shed 131,000. Bumble dropped 368,000. By Q2 2025, Bumble's paying users had fallen 8.7% to 3.8 million. Match Group—owner of both Tinder and Hing"
"supplemental discovery","2026.03","Bumble Bee","AI dating assistant","AI dating feature","yes","","https://thenextweb.com/news/bumble-bee-ai-assistant-dating-swipe","Bumble’s AI assistant Bee will learn what you want from a relationship","Bumble’s AI assistant Bee will learn what you want from a relationship [...] The dating app unveiled Bee at its Q4 earnings alongside a broader ‘Bumble 2.0’ overhaul, as the company attempts to reverse years of declining user numbers by replacing gamified swiping with AI-driven compatibility. [...] There is a version of the future, Bumble’s version, at least"
"supplemental discovery","2025.03","Breeze","IRL dating US launch","IRL dating boundary","yes","","https://www.businesswire.com/news/home/20250325708326/en/Taking-Online-Dates-Offline-Dating-App-Breeze-Launches-in-the-U.S.-Starting-with-NYC","Taking Online Dates Offline: Dating App Breeze Launches in the U.S., Starting with NYC","The successful European platform aims to bring singles together IRL in the city with one of the highest amounts of dating app users in the world. [...] NEW YORK--(BUSINESS WIRE)-- Breeze, the dating app for real dates, announces its expansion into the United States. Starting with New York City, the platform targets online dating fatigue by encouraging users "
"supplemental discovery","2026.03","Posh","$37M Series B","IRL events / social planning","yes","37","https://qoshe.com/fortune/lily-mae-lazarus/exclusive-posh-lands-37m-series-b-to-crack-the-what-are-we-doing-tonight-problem/188187957","QOSHE - Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem - Lily Mae Lazarus","QOSHE - Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem - Lily Mae Lazarus info brightness_medium left_panel_close view_agenda grid_view [...] Exclusive: Posh lands $37M Series B to crack the ‘what are we doing tonight?’ problem [...] Event platform Posh raised a fresh $37 million to solve one of the quintessential “tarp"
"supplemental discovery","2026.02","Ditto","$9.2M / real-date college dating","IRL dating / anti-swipe","yes","9.2","https://markets.businessinsider.com/news/stocks/ditto-raises-9-2m-to-replace-swiping-with-real-dates-for-college-students-1035778345","Ditto raises $9.2M to replace swiping with real dates for college students | Markets Insider","Berkeley, Feb. 03, 2026 (GLOBE NEWSWIRE) -- For a generation that lives on their phones, dating has somehow become more time-consuming and less social. College students swipe endlessly, juggle multiple chats, and still struggle to turn matches into actual dates. Ditto was created to remove that friction entirely. Today, the company announced a $9.2 million f"
"supplemental discovery","2026.05","Known","nearly $10M / AI voice dating app","AI dating / real dates","yes","10","https://www.nbcbayarea.com/news/local/stanford-known-dating-app-ai/4091043/","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area","Stanford dropouts raise nearly $10M to launch AI dating app – NBC Bay Area [...] # Stanford dropouts raise nearly $10M to launch AI-driven dating app [...] ## The new app, called Known, uses an interactive chatbot to build personality profiles and gives users a strict 24-hour window to agree to a face-to-face date. [...] Allen, talk about [...] Two former St"
"supplemental discovery","2025.08","AI companion apps market","$120M projected 2025 consumer spend","AI companion market metric","no","120","https://finance.yahoo.com/news/ai-companion-apps-track-pull-173842786.html","AI companion apps on track to pull in $120M in 2025","to pull in $12 [...] Demand for AI “companion” applications outside of bigger names, like ChatGPT and Grok, is growing. Of the 337 active and revenue-generating AI companion apps available worldwide, 128 were released in 2025 so far, according to new data provided to TechCrunch by app intelligence firm Appfigures. This subsection of the AI market on mobile h"
"supplemental discovery","2026.05","Astrocade","$56M new funding","AI social / interactive entertainment","no","56","https://techcrunch.com/2026/05/19/gamified-social-media-network-status-announces-17m-funding-to-help-usher-in-new-era-of-social-networking/","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch","Forget the feed: Status AI raises $17M to turn social media into interactive entertainment | TechCrunch [...] # Forget the feed: Status AI raises $17M to turn social media into interactive entertainment [...] 7:00 AM PDT · [...] Like many young people of her generation, Fai Nur was what she called a “chronically online teenager.” She obsessed over music grou"
