"来源层","查询ID","类别","requestId","结果数","唯一域名数","头部来源域名","查询语句"
"main research","language_exchange_companies","company","6c6b749cdda669f9aa2c5e37303b8e8f","12","12","conversationexchange.com (1) | conversifi.com (1) | fluentpal.net (1) | hellotalk.com (1) | lingopraxis.com (1)","companies and apps similar to HelloTalk and Tandem for language exchange social networking native speaker chat voice rooms pen pals"
"main research","language_exchange_growth_signals","news","58db3f63786e4bce2d01461b47a32025","12","8","hellotalk.com (3) | play.google.com (2) | sewayou.com (2) | apps.apple.com (1) | hilokal.com (1)","HelloTalk Tandem Lingbe Speaky Slowly SewaYou Hilokal language exchange app users growth social features voice rooms 2024 2025 2026"
"main research","new_language_exchange_companies","company","bf8223824a6278d1fc3e08132c3db734","12","12","ananas.club (1) | conversationexchange.com (1) | fluentpal.net (1) | hellotalk.com (1) | hilokal.com (1)","new language exchange social apps 2024 2025 2026 similar to HelloTalk Tandem SewaYou Hilokal Slowly Linguado LangPal MatchaLingua native speaker matching nearby cultural exchange"
"main research","ai_social_funding_news","news","fd8c5ecf9ee7c8e0261bb08a6462ebb9","12","9","techcrunch.com (4) | einpresswire.com (1) | gamesbeat.com (1) | geekwire.com (1) | globenewswire.com (1)","AI social app AI companion consumer social entertainment startup funding 2024 2025 2026 Butterflies Daze Dippy Tolan Pengu Status AI"
"main research","ai_companion_roleplay_funding_news","news","39607f4b058481de6c2db2a117e310fc","12","10","markets.businessinsider.com (2) | techcrunch.com (2) | businesswire.com (1) | ctinsider.com (1) | optimisus.com (1)","AI companion roleplay app funding 2024 2025 2026 Replika Character.AI Nomi Kindroid PolyBuzz Chai Talkie MiniMax Linky HiWaifu Oh Dippy"
"main research","mature_ai_companion_products","company","1d77cb022e4ae1ea927c3542ec0e76a0","12","12","blush.ai (1) | chai.ai (1) | character.ai (1) | chatfai.com (1) | everai.ai (1)","AI companion apps Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI company product users revenue"
"main research","mature_ai_companion_news","news","5da072280cab37e8423dfa266136685f","12","12","ainews.com (1) | blockchain.news (1) | decrypt.co (1) | digitaltoday.co.kr (1) | esafety.gov.au (1)","Replika Character.AI Nomi Kindroid Chai PolyBuzz Talkie Linky HiWaifu CrushOn Janitor AI funding revenue growth safety news 2024 2025 2026"
"main research","china_ai_companion_exports","news","56bd97bcd39320353cbbf773d2ed547b","12","11","baijing.cn (2) | bbtnews.com.cn (1) | caifuhao.eastmoney.com (1) | implicator.ai (1) | longbridge.com (1)","Chinese AI companion app overseas Talkie MiniMax PolyBuzz Linky HiWaifu Oh AI roleplay app downloads revenue funding 2024 2025 2026"
"main research","ai_social_entertainment_news","news","1e5b4d36e2bc381a1a949bcc57032f5e","12","11","techcrunch.com (2) | breakvc.com (1) | einpresswire.com (1) | finalboss.io (1) | fundraiseinsider.com (1)","AI social network interactive entertainment app funding 2024 2025 2026 Butterflies Status AI Series Oasiz Daze social media RPG fanfiction"
"main research","offline_ai_social_news","news","af0f738adaecd84c0947baf9c557c22d","12","10","techcrunch.com (2) | trysignalbase.com (2) | africa.businessinsider.com (1) | b17news.com (1) | febspot.com (1)","AI powered offline social app funding IRL friends dinner strangers meetups 222 Pie Timeleft 2024 2025 2026"
"main research","offline_social_discovery_companies","company","82dcae7a9ca5f65910c68a1d3e3c4f64","12","12","getpie.app (1) | homiiworld.com (1) | kaiwa.club (1) | magictable.in (1) | partiful.com (1)","offline social discovery apps meet new friends IRL dinner strangers events algorithm matching 222 Pie Timeleft Saturday Plots Partiful"
"main research","offline_events_boundary_news","news","f9f52097da6710a03347dc21b42ed4ba","12","10","techcrunch.com (3) | ainvest.com (1) | founded.com (1) | futureparty.com (1) | inc.com (1)","IRL social events app funding 2024 2025 2026 Partiful Plots Saturday 222 Pie Timeleft friends events meetup social discovery"
"main research","ai_dating_irl_news","news","7dfd903af0ed2c897e44d1e6df277aa3","12","7","techcrunch.com (4) | globaldatinginsights.com (2) | tinderpressroom.com (2) | businesswire.com (1) | independent.co.uk (1)","AI dating app offline dates anti swiping IRL meetups funding launch 2024 2025 2026 Breeze Hinge Tinder Bumble Thursday dating app"
"main research","group_travel_irl_news","news","84ef49c3b16127839e8acd56a5147f15","12","12","analyticsinsight.net (1) | eu-startups.com (1) | finsmes.com (1) | newmarketpitch.com (1) | phocuswire.com (1)","group travel social app funding 2024 2025 2026 WeRoad Airbnb millennials Gen Z strangers travel friends community"
"main research","local_activity_social_companies","company","119de6d1ed9994edf383de1f39d63e4f","12","12","aglow.life (1) | encoredays.com (1) | getsaturday.com (1) | link.social (1) | meetmux.com (1)","local activity social apps meet new friends over 40 Gen X group activities IRL social app Meet5 Aglow Luma Posh Plots Saturday"
"main research","offline_social_company_boundary","company","c17a23435a2960bcf37ce6d0e3048a94","12","12","aroundme.co (1) | getpie.app (1) | getsaturday.com (1) | lomo.social (1) | partiful.com (1)","companies offline social app events meetups friends Partiful Plots Saturday Posh Luma Timeleft 222 Pie AI matching"
"main research","ai_companion_research","research paper","9296ca4515d269b2b9da4a7d86e34e55","12","3","arxiv.org (9) | sciencedirect.com (2) | dl.acm.org (1)","AI companion social relationships loneliness teens Replika Character.AI Nomi research paper 2024 2025 2026"
"main research","offline_loneliness_research","research paper","c133b8071cd7d5b2d099da1a7219cb7c","12","5","link.springer.com (3) | pmc.ncbi.nlm.nih.gov (3) | sciencedirect.com (3) | frontiersin.org (2) | mdpi.com (1)","offline social connection loneliness social apps algorithmic matching in-person meetups research 2024 2025 2026"
"main research","consumer_ai_financial_reports","financial report","ee6d5a2fa2bbd16ae026315981182b87","12","1","sec.gov (12)","AI companion apps revenue report 2025 Character.AI Replika PolyBuzz Chai Talkie Pengu consumer AI app market"
"main research","app_market_reports","financial report","200a10213bd75e2a3202d2530d3dc209","12","1","sec.gov (12)","consumer AI app market report AI companion app revenue downloads 2024 2025 Sensor Tower Appfigures data.ai financial report"
"main research","consumer_ai_app_rankings","financial report","ab0c8fb1ce1dfa970ee9acd73066cde1","12","1","sec.gov (12)","top consumer generative AI apps rankings AI companion mobile app downloads revenue report 2025 2026 Andreessen Sensor Tower Appfigures"
