"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","known","Eat No Solo: Eating alone is becoming the norm: One app wants to fix that - Ireland","2026-06-04T11:31:11.000Z","https://www.europesays.com/ie/518189/","People have never been more digitally connected yet more people are eating alone than ever before. One startup founder in Luxembourg believes the answer is not another social network, but dinner with a stranger. [...] Eat No Solo, a new app recently launched in Luxembourg and parts of Germany, aims to bring strangers together for spontaneous meals or drinks in public places, without the swiping and endless messaging "
"线下真人社交","critical","known","Can We Swipe Our Way to Friendship? | KQED","2026-06-04T11:00:36.000Z","https://www.kqed.org/science/2001059/can-we-swipe-our-way-to-friendship","Friendship apps and curated dinners are helping people connect in a lonely moment. But they can only open the door. The effort and the follow-up are still on us. [...] Kelsea Manion, Emily Marroquin, Morgan Ezeir, Wing Tovbis, and Jenn Hobbs laugh together as they play “Hues and Cues” at Victory Point Cafe in Berkeley, Calif., on Thursday, April 23, 2026. The group of women met through a friendship app called RealRoo"
"线下真人社交","critical","known","Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28T10:10:47.000Z","https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/","Breeze Launches IRL Group Dates Across London - Global Dating Insights [...] Breeze has launched real-life group date events across London, marking the first time since the platform has moved beyond the conventional one-on-one dating format in any official capacity. The current structure allows for up to eight singles at a venue, with no pre-emptive chats or meetings required – attendees simply show up and take part "
"线下真人社交","critical","known","WeRoad raises $58M and expands to the US with Airbnb | WeRoad","2026-05-27T08:26:00.000Z","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","WeRoad raises $58M and expands to the US with Airbnb | WeRoad [...] # WeRoad closes a $58 million Series C round. And now, we’re heading to the United States [...] WeRoad closes a €58 million round to accelerate international growth and launch in the US. The Italian travel-tech company aims to scale its group travel model for Millennials and Gen Z globally. [...] - $58 million Series C round closed by WeRoad, led by "
"线下真人社交","critical","known","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch","2026-05-27T08:00:00.000Z","https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch [...] WeRoad, the Milan-based group travel startup, has raised a $58 million Series C round led by Airbnb as it prepares for its first major expansion outside Europe. The funding brings the company’s total capital raised to roughly $100 million and will finance WeRoad’s push into the U.S., beginning with Austin. [...] The new in"
"中国 AI 社交出海","high","known","AI Reshapes Globalization: Unveiling New Overseas Expansion Opportunities for Chinese Enterprises","2026-06-07T05:40:59.000Z","https://eu.36kr.com/en/p/3839587254827908","Further observation of the competitive landscape of the AI application market reveals that general tools and vertical applications are accelerating differentiation along different paths. In the field of AI intelligent assistants, ChatGPT has formed a significant leading effect with its technological leadership, user scale, and ecological barriers. New entrants will face extremely high market thresholds. High - value "
"融资 / 商业化","high","known","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03T11:49:43.000Z","https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune [...] # Town’s AI assistants learn your life—Andreessen Horowitz and Forerunner just backed the vision with $55 million [...] Town builds AI assistants with distinct avatars and personalities meant to give users their time back.Courtesy of Town [...] Jean-Denis Gréze’s AI assistant is a silver fox who wears a "
"融资 / 商业化","high","known","Nectar Social Raises $30M, Rebrands Itself as Nectar Agent - Demand Gen Report","2026-06-02T19:00:16.000Z","https://www.demandgenreport.com/industry-news/news-brief/nectar-social-raises-30m-rebrands-itself-as-nectar-agent/53121/","Nectar Social Raises $30M, Rebrands Itself as Nectar Agent [...] Demand Gen Report [...] - Subscribe - Nectar Social raised a $30 million Series A round led by Menlo Ventures and its Anthology Fund as it rebrands as Nectar Agent. - The company plans to expand its agentic social operating system, which helps brands manage social intelligence, community engagement, creator workflows, and conversational commerce. [...] "
"融资 / 商业化","high","known","Board, the new game startup from Mirror founder Brynn Putnam, raises $20M, has already sold thousands | TechCrunch","2026-06-02T15:56:08.000Z","https://techcrunch.com/2026/06/02/board-the-new-game-startup-from-mirror-founder-brynn-putnam-raises-20m-has-already-sold-thousands/","Board, the three-year-old, New York-based startup building what it calls “together tech” — tech designed to bring people physically into the same room — has closed a $20 million Series A led by Union Square Ventures. [...] General Partner Michael Mignano, in his first investment since joining USV, will join the company’s board of directors. The round also brought in some famous angel investors including Biz Stone, Ti"
"融资 / 商业化","high","known","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment","2026-06-02T03:31:00.000Z","https://www.prnewswire.com/apac/news-releases/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment-302787864.html","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment Accessibility Statement Skip Navigation [...] SINGAPORE, June 2, 2026 /PRNewswire/ -- Aippy, the world's first AI-native game community developed by NADA AI, today announced that it has raised tens of millions of dollars in its first funding round led by Glowill Capital, bringing its post-mo"
