"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","new","Bumble set to launch Plans, paid IRL date feature","2026-06-03T14:27:21.000Z","https://mashable.com/life/bumble-set-to-launch-plans-paid-date-feature","# Bumble set to launch Plans, paid IRL date feature [...] Users will have to pay to RSVP to a group date. [...] The feature, called Plans, will launch in New York and require users to pay a flat fee to RSVP to an IRL ""Plan"" — a small IRL gathering. Bumble users can also invite a plus-one, who will also have to pay the fee, according to Business Insider. [...] After users attend, they'll be asked if they liked any oth"
"线下真人社交","critical","known","Breeze: Can a Dutch app save Brits from swiping past our dismal dating scene? | The Independent","2026-05-31T05:00:00.000Z","https://www.independent.co.uk/life-style/breeze-dating-app-tinder-hinge-b2983703.html","The Dutch couple are one of many success stories spawning from the dating app Breeze, which launched in Europe in 2020 before landing in London in 2025. Breeze promises date nights without endless swiping, and banishes the talking stage (what’s your favourite colour? How many siblings do you have?”) by only opening the chat window two hours before the date. When you match with someone, you put your availability into "
"线下真人社交","critical","known","Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28T10:10:47.000Z","https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/","Breeze Launches IRL Group Dates Across London - Global Dating Insights [...] Breeze has launched real-life group date events across London, marking the first time since the platform has moved beyond the conventional one-on-one dating format in any official capacity. The current structure allows for up to eight singles at a venue, with no pre-emptive chats or meetings required – attendees simply show up and take part "
"线下真人社交","critical","known","Airbnb leads €49 million Series C in Italian adventure travel company WeRoad | EU-Startups","2026-05-27T08:39:40.000Z","https://www.eu-startups.com/2026/05/airbnb-leads-e49-million-series-c-in-italian-adventure-travel-company-weroad/","Home Funding Airbnb leads €49 million Series C in Italian adventure travel company WeRoad [...] # Airbnb leads €49 million Series C in Italian adventure travel company WeRoad [...] WeRoad, the Italian adventure travel company, has closed a €49 million ($58 million) Series C round in order to fund their first major expansion beyond Europe, bringing its community-driven travel model to the US market. [...] The round wa"
"线下真人社交","critical","known","WeRoad raises $58M and expands to the US with Airbnb | WeRoad","2026-05-27T08:26:00.000Z","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","WeRoad raises $58M and expands to the US with Airbnb | WeRoad [...] # WeRoad closes a $58 million Series C round. And now, we’re heading to the United States [...] WeRoad closes a €58 million round to accelerate international growth and launch in the US. The Italian travel-tech company aims to scale its group travel model for Millennials and Gen Z globally. [...] - $58 million Series C round closed by WeRoad, led by "
"线下真人社交","critical","known","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch","2026-05-27T08:00:00.000Z","https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch [...] WeRoad, the Milan-based group travel startup, has raised a $58 million Series C round led by Airbnb as it prepares for its first major expansion outside Europe. The funding brings the company’s total capital raised to roughly $100 million and will finance WeRoad’s push into the U.S., beginning with Austin. [...] The new in"
"融资 / 商业化","high","new","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune","2026-06-03T11:49:43.000Z","https://fortune.com/2026/06/03/towns-ai-assistants-andreessen-horowitz-forerunner-55-million/","Andreessen Horowitz and Forerunner are betting $55 million on Town's deeply personal AI assistants | Fortune [...] # Town’s AI assistants learn your life—Andreessen Horowitz and Forerunner just backed the vision with $55 million [...] Town builds AI assistants with distinct avatars and personalities meant to give users their time back.Courtesy of Town [...] Jean-Denis Gréze’s AI assistant is a silver fox who wears a "
"融资 / 商业化","high","known","Board, the new game startup from Mirror founder Brynn Putnam, raises $20M, has already sold thousands | TechCrunch","2026-06-02T15:56:08.000Z","https://techcrunch.com/2026/06/02/board-the-new-game-startup-from-mirror-founder-brynn-putnam-raises-20m-has-already-sold-thousands/","Board, the three-year-old, New York-based startup building what it calls “together tech” — tech designed to bring people physically into the same room — has closed a $20 million Series A led by Union Square Ventures. [...] General Partner Michael Mignano, in his first investment since joining USV, will join the company’s board of directors. The round also brought in some famous angel investors including Biz Stone, Ti"
"融资 / 商业化","high","new","Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps","2026-06-02T12:34:36.000Z","https://pulse2.com/sekai-raises-26-million-to-build-a-social-platform-for-ai-created-mini-apps/amp/","Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps [...] # Sekai Raises $26 Million To Build A Social Platform For AI-Created Mini-Apps [...] Sekai announced it has raised $26 million in funding to accelerate the growth of its social platform that enables users to create, play, and remix AI-generated mini-apps. The funding round was led by Khosla Ventures and Connect Ventures, with participa"
"融资 / 商业化","high","known","Sekai raises $20 million as people create 15 million AI mini apps","2026-06-01T13:00:04.000Z","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding","Sekai raises $20 million as people create 15 million AI mini apps [...] # Exclusive: Sekai raises $20M for AI app creation [...] Sekai has raised a $20 million Series A to grow a platform for creating mini apps through text prompts, founder and CEO Lucky Zhang exclusively tells Axios. [...] Why it matters: The founder, who previously sold startups to Apple and TikTok parent ByteDance, is betting AI-generated software"
