"监控主题","优先级","状态","标题","发布日期","URL","摘要"
"线下真人社交","critical","known","Breeze Launches IRL Group Dates Across London - Global Dating Insights","2026-05-28T10:10:47.000Z","https://www.globaldatinginsights.com/featured/breeze-launches-irl-group-dates-across-london/","Breeze Launches IRL Group Dates Across London - Global Dating Insights [...] Breeze has launched real-life group date events across London, marking the first time since the platform has moved beyond the conventional one-on-one dating format in any official capacity. The current structure allows for up to eight singles at a venue, with no pre-emptive chats or meetings required – attendees simply show up and take part "
"线下真人社交","critical","known","Airbnb leads €49 million Series C in Italian adventure travel company WeRoad | EU-Startups","2026-05-27T08:39:40.000Z","https://www.eu-startups.com/2026/05/airbnb-leads-e49-million-series-c-in-italian-adventure-travel-company-weroad/","Home Funding Airbnb leads €49 million Series C in Italian adventure travel company WeRoad [...] # Airbnb leads €49 million Series C in Italian adventure travel company WeRoad [...] WeRoad, the Italian adventure travel company, has closed a €49 million ($58 million) Series C round in order to fund their first major expansion beyond Europe, bringing its community-driven travel model to the US market. [...] The round wa"
"线下真人社交","critical","known","WeRoad raises $58M and expands to the US with Airbnb | WeRoad","2026-05-27T08:26:00.000Z","https://www.weroad.com/blog/weroad-closes-a-58-million-launch-us","WeRoad raises $58M and expands to the US with Airbnb | WeRoad [...] # WeRoad closes a $58 million Series C round. And now, we’re heading to the United States [...] WeRoad closes a €58 million round to accelerate international growth and launch in the US. The Italian travel-tech company aims to scale its group travel model for Millennials and Gen Z globally. [...] - $58 million Series C round closed by WeRoad, led by "
"线下真人社交","critical","known","Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch","2026-05-27T08:00:00.000Z","https://techcrunch.com/2026/05/27/airbnb-backed-weroad-raises-58m-to-take-its-group-travel-platform-to-the-us/","# Airbnb-backed WeRoad raises $58M to take its group travel platform to the US | TechCrunch [...] Airbnb-backed WeRoad raises $58M to take its group travel platform to the US [...] WeRoad, the Milan-based group travel startup, has raised a $58 million Series C round led by Airbnb as it prepares for its first major expansion outside Europe. The funding brings the company’s total capital raised to roughly $100 million "
"融资 / 商业化","high","known","Nectar Social Raises $30M, Rebrands Itself as Nectar Agent - Demand Gen Report","2026-06-02T19:00:16.000Z","https://www.demandgenreport.com/industry-news/news-brief/nectar-social-raises-30m-rebrands-itself-as-nectar-agent/53121/","Nectar Social Raises $30M, Rebrands Itself as Nectar Agent [...] Demand Gen Report [...] - Subscribe - Nectar Social raised a $30 million Series A round led by Menlo Ventures and its Anthology Fund as it rebrands as Nectar Agent. - The company plans to expand its agentic social operating system, which helps brands manage social intelligence, community engagement, creator workflows, and conversational commerce. [...] "
"融资 / 商业化","high","known","Board, the new game startup from Mirror founder Brynn Putnam, raises $20M, has already sold thousands | TechCrunch","2026-06-02T15:56:08.000Z","https://techcrunch.com/2026/06/02/board-the-new-game-startup-from-mirror-founder-brynn-putnam-raises-20m-has-already-sold-thousands/","Board, the three-year-old, New York-based startup building what it calls “together tech” — tech designed to bring people physically into the same room — has closed a $20 million Series A led by Union Square Ventures. [...] General Partner Michael Mignano, in his first investment since joining USV, will join the company’s board of directors. The round also brought in some famous angel investors including Biz Stone, Ti"
"融资 / 商业化","high","known","Aippy Raises Tens of Millions of Dollars at a $250 Million Valuation to Build the Future of AI-Native Interactive Entertainment - TNGlobal","2026-06-02T03:31:00.000Z","https://technode.global/prnasia/aippy-raises-tens-of-millions-of-dollars-at-a-250-million-valuation-to-build-the-future-of-ai-native-interactive-entertainment/","SINGAPORE, June 2, 2026 /PRNewswire/ — Aippy, the world’s first AI-native game community developed by NADA AI, today announced that it has raised tens of millions of dollars in its first funding round led by Glowill Capital, bringing its post-money valuation to US$250 million. The proceeds will be used to attract top global talent and support user growth as Aippy continues to expand its creator ecosystem. [...] “We w"
"融资 / 商业化","high","known","Sekai raises $20 million as people create 15 million AI mini apps","2026-06-01T13:00:04.000Z","https://www.axios.com/2026/06/01/sekai-mini-app-startup-funding","Sekai raises $20 million as people create 15 million AI mini apps [...] # Exclusive: Sekai raises $20M for AI app creation [...] Sekai has raised a $20 million Series A to grow a platform for creating mini apps through text prompts, founder and CEO Lucky Zhang exclusively tells Axios. [...] Why it matters: The founder, who previously sold startups to Apple and TikTok parent ByteDance, is betting AI-generated software"
"融资 / 商业化","high","known","Status AI Raises $17 Million to Turn Social Media Into Worlds Users Can Live Inside - Fundraise Insider","2026-05-28T21:18:10.000Z","https://fundraiseinsider.com/blog/status-ai-raises-17-million-to-turn-social-media-into-worlds-users-can-live-inside/","Status AI Raises $17 Million to Turn Social Media Into Worlds Users Can Live Inside - Fundraise Insider [...] Status AI, an interactive social media app, has announced $17 million in combined seed and Series A funding. The backers include General Catalyst, Y Combinator, LightShed Partners, and Abstract. The raise reflects a wager that the next chapter of consumer social will not be another feed, but interactive enter"
"中国 AI 社交出海","high","known","China’s MiniMax records 1-million client base, fivefold growth in half a year | South China Morning Post","2026-05-28T09:00:05.000Z","https://www.scmp.com/tech/tech-trends/article/3355156/chinas-minimax-records-1-million-client-base-fivefold-growth-half-year","China’s MiniMax records 1-million client base, [...] in half a year | South China Morning Post [...] ### Its global user base reaches 300 million while ARR more than doubles in two months, though company reports large total losses [...] Chinese artificial intelligence (AI) company MiniMax says it recorded a fivefold surge in its global enterprise and developer client base over the past six months, highlighting the sh"
