"复核层级","复核结论","优先级","查询ID","类别","缺口数","已深挖候选数","已分流信号数","剩余数","处理状态","深挖结论","信号分流结论","下一步动作","原因","深挖候选","已分流信号","示例"
"product-candidate","候选补证","high","lingopraxis_growth","company","5","5","0","0","deep-dive complete","长尾留档 | 候选补证","","已完成 5 个候选的 candidate deep-dive；结论为 长尾留档 / 候选补证。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | Time2Talk: 候选补证 (unclassified candidate) | LingoLooper: 候选补证 (unclassified candidate) | Lingopanda (previously PingoLearn): 候选补证 (unclassified candidate) | Plang, Inc.: 候选补证 (unclassified candidate)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Time2Talk: https://time2talk.app/ | LingoLooper: https://lingolooper.com/"
"product-candidate","候选补证","high","language_exchange_companies","company","2","2","0","0","deep-dive complete","长尾留档 | 边界参照","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 边界参照。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | Conversifi: 边界参照 (language exchange / university)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Conversifi: https://conversifi.com/"
"product-candidate","候选补证","high","new_language_exchange_companies","company","2","2","0","0","deep-dive complete","长尾留档 | 暂缓","","已完成 2 个候选的 candidate deep-dive；结论为 长尾留档 / 暂缓。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail) | Ananas B.V.: 暂缓 (language/social ambiguous)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/ | Ananas B.V.: https://ananas.club/"
"product-candidate","候选补证","high","offline_social_company_boundary","company","2","2","0","0","deep-dive complete","排除主表 | 信号复核","","已完成 2 个候选的 candidate deep-dive；结论为 排除主表 / 信号复核。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Around Me: 排除主表 (local search adjacent) | SoMe AI: 信号复核 (AI-native social candidate)","","Around Me: https://aroundme.co/ | SoMe AI: https://socialwithsome.com/"
"product-candidate","候选补证","high","conversation_exchange_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","lingbe_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","local_activity_social_companies","company","1","1","0","0","deep-dive complete","边界参照","","已完成 1 个候选的 candidate deep-dive；结论为 边界参照。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Meetup: 边界参照 (IRL incumbent reference)","","Meetup: https://meetup.com/"
"product-candidate","候选补证","high","offline_social_discovery_companies","company","1","1","0","0","deep-dive complete","排除主表","","已完成 1 个候选的 candidate deep-dive；结论为 排除主表。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","Plannit: 排除主表 (planning / travel adjacent)","","Plannit: https://plannit.in/"
"product-candidate","候选补证","high","slowly_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
"product-candidate","候选补证","high","speakyparrot_growth","company","1","1","0","0","deep-dive complete","长尾留档","","已完成 1 个候选的 candidate deep-dive；结论为 长尾留档。剩余 0 条继续进入下一轮补证或 monitor。","出现具体产品/公司名，但当前缺少足够增长、功能或官方证据，需要下一轮补证后决定是否入主表。","LingoPraxis: 长尾留档 (language exchange long tail)","","LingoPraxis - English Speaking Club: https://lingopraxis.com/"
