"产品/公司","Exa query","状态","HTTP","requestId","结果数","Top results"
"Tandem","Tandem language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","661a5c32b09184bc52a793086ad85b11","8","Tandem: Language exchange: https://play.google.com/store/apps/details?id=net.tandem&hl=en_AU | Tandem Language Exchange App | Find Conversation Exchange ...: https://tandem.net/ | Tandem - Language Exchange | LinkedIn: https://linkedin.com/company/tandem---mobile-language-exchange/ | Tandem: Language exchange - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=net.tandem | Tandem: Practice Languages - App Store - Apple: https://apps.apple.com/us/app/tandem-practice-languages/id959001619"
"Hilokal","Hilokal language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","e72d5df5477573184a536dd466ee76d7","8","Hilokal - Language exchange for free speaking practice: https://www.hilokal.com/en | Hilokal - AI Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.hilokal | ‎Hilokal: Language Exchange App App - App Store: https://apps.apple.com/us/app/hilokal-language-exchange-app/id1537500613 | Hilokal - AI Language Learning - Apps on Google Play: https://play.google.com/store/apps/details?id=com.hilokal&hl=en | Hilokal - AI Language Learning: https://play.google.com/store/apps/details?id=com.hilokal&hl=en_CA"
"SewaYou","SewaYou language exchange app LinkedIn Instagram TikTok Facebook X App Store Google Play official","ok","200","2c6617e86c3b44f639e182f375366441","8","SewaYou: https://www.sewayou.com/ | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_SG | SewaYou: Japanese Friends Chat: https://play.google.com/store/apps/details?id=com.sewayou&hl=en_GB | SewaYou - Japanese Friends - Apps on Google Play: https://play.google.com/store/apps/details?hl=en&id=com.sewayou | ‎SewaYou - Japanese Friends App - App Store: https://apps.apple.com/us/app/sewayou-japanese-friends/id1455473510"
"Conversation Exchange","""Conversation Exchange"" language exchange LinkedIn Facebook Instagram X official website conversationexchange.com","ok","200","158c9eb76b6fe4a02e0684a1c6b44707","8","Conversation Exchange: https://linkedin.com/company/conversation-exchange | Language Exchange using a Chat Software: https://www.conversationexchange.com/chat-search.php?lg=en | Advertise on Conversation Exchange: https://www.conversationexchange.com/advertise.php?lg=en | Membership: https://www.conversationexchange.com/members/membership.php?lg=en | Scambi Linguistici: https://www.conversationexchange.com/?lg=it"
"Talk4Now","""Talk4Now"" language exchange LinkedIn Instagram Facebook X official app store talk4now.com","ok","200","f6248222f3e19fa879012cf98eb01608","8","English Speaking Practice Online for Beginners | Talk4Now: https://talk4now.com/ | What Is Talk4Now? A Live Voice Room for Language Practice | Talk4Now: https://talk4now.com/what-is-talk4now | Practice Languages Online | Talk4Now: https://talk4now.com/practice | About Us | Talk4Now: https://talk4now.com/about | Community Forums — Talk4Now | Talk4Now: https://talk4now.com/forums"
"meeTalk","meeTalk language exchange app LinkedIn Instagram Facebook Google Play official","ok","200","84ad31e39fb7b36e94ad0b1fab139f40","8","meeTalk: Global Chat – Apps on Google Play: https://play.google.com/store/apps/details?hl=en_IN&id=com.defenzy.meetalk | Download MeeTalk 1.4 APK for Android - Free and Safe Download: https://apkpure.net/meetalk/com.meetalk/download | MeeTalk - 2026 Company Profile & Competitors - Tracxn: https://tracxn.com/d/companies/meetalk/__6cB0uGopa3227ws54whTvL1yJS7OjBpPx976Se7Sa4Q | HelloTalk - Learn Languages - Apps on Google Play: https://play.google.com/store/apps/details/HelloTalk_Learn_Languages?id=com.hellotalk&hl=en | meeTalk｜note: https://note.com/meetalk"
"LangPal","LangPal language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","79bf8a355e2000979cb4f976bb09bcf3","8","LangPal - Turn Class Notes into Fluency: https://langpal.ai/ | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/ie/app/langpal-screen-time-language/id6760652205 | LangPal: Screen Time Language - App Store - Apple: https://apps.apple.com/us/app/langpal-screen-time-language/id6760652205 | ‎LangPal: Screen Time Language App - App Store: https://apps.apple.com/sa/app/langpal-screen-time-language/id6760652205 | LangPal for Teachers — Turn Class Vocabulary into Student Learning: https://langpal.ai/teachers"
"MatchaLingua","""MatchaLingua"" language exchange LinkedIn Instagram Facebook App Store Google Play official","ok","200","8adfff37dcc236ddb45c67c48c4e25c9","8","Treine seu Inglês com MatchLingue | Home: https://www.matchlingue.com/ | ‎Matcha--Hang out App - App Store: https://apps.apple.com/gb/app/matcha-hang-out/id6754646443 | Langmatch: Language Exchange App: https://langmatch.app/ | Language Exchange Langmatch 17+: https://apps.apple.com/ng/app/language-exchange-langmatch/id1441242535 | ‎Linglo - Language Exchange App - App Store: https://apps.apple.com/us/app/linglo-language-exchange/id6747976041"
"Slowly","Slowly app LinkedIn Instagram Facebook X App Store Google Play official","ok","200","9b2251f96ae07e17456c5b6903a81658","8","Slowly - Penpal Reimagined: https://slowly.app/ | Slowly: Make Global Friends - Apps on Google Play: https://play.google.com/store/apps/details?hl=en_US&id=com.slowlyapp | ‎Slowly: Make Global Friends App - App Store: https://apps.apple.com/us/app/slowly-make-global-friends/id1199811908 | Slowly: Make Global Friends: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_CA | Slowly: Make Global Friends: https://play.google.com/store/apps/details?id=com.slowlyapp&hl=en_GB"
"FluentPal","""FluentPal"" language app LinkedIn Instagram TikTok App Store Google Play official","ok","200","8894178d7cef51b3db00b65ef9f538bc","8","‎FluentPal - Get fluent faster App - App Store: https://apps.apple.com/us/app/fluentpal-get-fluent-faster/id6462874346 | FluentPal: Get fluent faster - Apps on Google Play: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_US | FluentPal 4+: https://apps.apple.com/us/app/fluentpal/id6462874346 | FluentPal: Get fluent faster: https://play.google.com/store/apps/details?id=com.fluentai&hl=en_GB | FluentPal - Language Learning with AI: https://fluentpal.app/vi"
